name,ra,dec,bii
PSR J1928+1746,292.17727294541663,17.77490904722222,0.11359096993830978
PSR J1932+1916,293.08207410000006,19.277539469444445,0.08295796005912177
B1930+22,293.09445369528237,22.34824291719426,1.5540993176703395
PSR J1935+2025,293.92412182899994,20.426608647833334,-0.05279815028980936
B1937+21,294.91067175958335,21.58309278611111,-0.28959813176979493
PSR J1946+3417,296.6047104141667,34.287414325,4.712641616690996
PSR J1946-5403,296.643724443125,-54.06181294836111,-29.58042473846797
B1951+32,298.2425000658333,32.87798336388889,2.8234522533945894
PSR J1954+2836,298.5797991041667,28.601403061111114,0.37677534683879627
PSR J1954+3852,298.50451089641666,38.87107758230555,5.698881494579272
PSR J1957+5033,299.4102036375,50.556101130555554,11.014745020608096
PSR J1958+2846,299.6667208333333,28.76531111111111,-0.352720496695649
B1957+20,299.90311089833335,20.80404641666667,-4.6974781007100015
PSR J2006+0148,301.62105378775004,1.8149777355722223,-15.763188552742049
PSR J2006+3102,301.5461166,31.034146897222225,-0.5298557821264762
PSR J2017+0603,304.34460402208333,6.0515467916666665,-16.026326359810557
PSR J2017+3625,304.4826629166667,36.41891616666666,0.38966167249095157
PSR J2017-1614,304.4422730959584,-16.237589330347223,-26.2201671924368
PSR J2021+3651,305.272625,36.851286111111115,0.110932888347981
PSR J2021+4026,305.3780541666667,40.44612222222222,2.0871165176827
PSR J2022+3842,305.59037083333334,38.70411666666667,0.9600862149497174
PSR J2028+3332,307.08277096666666,33.534522566666666,-3.0079219063593348
PSR J2029-4239,307.375,-42.65833333333333,-35.49034224572229
PSR J2030+3641,307.5011057095833,36.69086597222222,-1.4384672588513987
PSR J2030+4415,307.7141180779167,44.260798941666664,2.885452312194349
PSR J2032+4127,308.0546620983333,41.456755244444444,1.0279016500227673
PSR J2034+3632,308.625,36.541666666666664,-2.253635633078813
PSR J2039-3616,309.81909455125,-36.27144035517777,-36.51732859582765
PSR J2039-5617,309.8957005584583,-56.28590789874444,-37.14534073474663
PSR J2042+0246,310.54584499724996,2.7706770307916666,-23.01619739565879
PSR J2043+1711,310.83700981666664,17.191369341666668,-15.312889176196798
PSR J2043+2740,310.93133065,27.682367297222225,-9.150872257269816
PSR J2047+1053,311.79274262458335,10.885540913888889,-19.676488952511686
PSR J2051-0827,312.7813336491667,-8.460485299999998,-30.410968817874103
PSR J2052+1219,313.19907475208333,12.333062893533333,-19.985627384796107
PSR J2055+2539,313.9539167,25.666426847222223,-12.520100676635959
PSR J2111+4606,317.8507989333333,46.108370558333334,-1.44566843191614
PSR J2115+5448,318.79902941333336,54.81255429722222,4.108742781935938
PSR J2116+1345,319.20737430566663,13.755884755358334,-23.823978970921864
PSR J2124-3358,321.18268631124994,-33.97918245,-45.43753499325213
PSR J2129-0429,322.4377477869167,-4.485226561663889,-36.93882227985755
PSR J2139+4716,324.9829765620833,47.270277505555555,-4.0197971006549436
PSR J2205+6012,331.3925057258333,60.21531693888889,3.6963986884224407
PSR J2208+4056,332.0082967266502,40.93383849087202,-12.111983121254562
PSR J2214+3000,333.6618561225,30.010612183333333,-21.665149216268674
PSR J2215+5135,333.8861955556667,51.593454293394444,-4.158869141769252
PSR J2229+6114,337.27259879625,61.23643968611111,2.948970430497607
PSR J2234+0944,338.69521934833335,9.741758527777776,-40.43832364414102
PSR J2238+5903,339.61729357083334,59.062434905555556,0.48337101158277646
PSR J2240+5832,340.17898989750006,58.543775455555554,-0.1113060302245285
PSR J2241-5236,340.42507020749997,-52.61005889166667,-54.92670020881287
PSR J2256-1024,344.23497056441664,-10.40955128738889,-58.292569376347366
PSR J2302+4442,345.69574468625007,44.706137983333335,-14.004580762984187
PSR J2310-0555,347.526812039875,-5.926689766552778,-57.90723634322906
PSR J2317+1439,349.28848493291673,14.658684819444446,-42.36018408267121
PSR J2339-0533,354.9114210592916,-5.551418933241666,-62.476113903084325
