ra,dec,name
21.81739,-1.971933,NGC 558
21.856974,-1.911933,NGC 560
21.919886,37.183006,NGC 551
21.951557,-1.879433,NGC 564
21.987803,-35.717994,NGC 568
22.04239,-1.306378,NGC 565
22.123632,48.386881,NGC 562
22.151551,-39.306601,NGC 572
22.238213,-51.598533,NGC 576
22.245723,-0.949156,NGC 570
22.617804,-22.665789,NGC 578
22.670306,-1.992488,NGC 580
22.694054,21.439696,NGC 575
22.837389,-6.868314,NGC 584
22.904055,-6.894425,NGC 586
22.927389,-0.931934,NGC 585
23.086554,-12.357194,NGC 593
23.139467,35.358842,NGC 587
23.217388,-7.03248,NGC 596
23.237387,-16.536354,NGC 594
23.273221,-7.312757,NGC 600
23.381134,35.668564,NGC 591
23.42113,44.929107,NGC 590
23.462385,30.660238,NGC 598
23.4928,-36.492438,NGC 612
23.573218,-29.416058,NGC 613
23.771964,-41.436321,NGC 625
23.77447,-7.340813,NGC 615
23.800298,-39.14799,NGC 626
23.903214,-39.359935,NGC 630
23.999887,0.663896,NGC 622
24.174052,15.783316,NGC 628
24.196553,5.835277,NGC 631
24.323636,5.877499,NGC 632
24.664462,-42.52632,NGC 641
24.666551,-17.833019,NGC 648
24.722378,-42.584653,NGC 644
24.777802,-7.513035,NGC 636
24.908218,7.237775,NGC 638
25.036968,5.727777,NGC 645
25.180301,7.982496,NGC 652
25.427594,-89.334352,NGC 2573
25.607796,35.638565,NGC 653
25.615298,26.143301,NGC 656
25.759883,13.644431,NGC 660
25.941967,4.221391,NGC 664
26.06113,28.705519,NGC 661
26.854462,27.88552,NGC 670
26.950714,-16.722465,NGC 690
26.973212,27.433577,NGC 672
27.095298,11.523046,NGC 673
27.176536,-48.648259,NGC 692
27.235296,-23.798566,NGC 686
27.239881,5.907777,NGC 676
27.295714,-10.427753,NGC 681
27.355713,21.997196,NGC 678
27.432792,35.784676,NGC 679
27.447796,21.970529,NGC 680
27.466545,-27.465506,NGC 689
27.559878,27.647743,NGC 684
27.629047,6.144721,NGC 693
27.674046,21.759696,NGC 691
27.742379,21.997196,NGC 694
27.766547,-9.703865,NGC 701
27.808212,22.583029,NGC 695
27.822379,22.358862,NGC 697
27.830714,-4.056096,NGC 702
27.95988,6.295554,NGC 706
28.116546,17.513036,NGC 711
28.193624,36.15162,NGC 703
28.21154,36.222453,NGC 709
28.251962,-13.739137,NGC 720
28.30238,4.196669,NGC 718
28.539024,-56.689919,NGC 745
28.588607,-56.761586,NGC 754
28.689871,39.383005,NGC 721
28.695711,20.698032,NGC 722
28.734462,-9.010811,NGC 731
29.091545,-4.467762,NGC 748
29.094878,-9.061922,NGC 755
29.100712,5.626389,NGC 741
29.116122,36.802731,NGC 732
29.158623,34.175512,NGC 735
29.17154,33.043847,NGC 736
29.229456,33.014958,NGC 740
29.387373,33.204402,NGC 751
29.427372,35.916065,NGC 753
29.457373,33.376624,NGC 761
29.460288,36.342176,NGC 759
29.635708,-26.292175,NGC 775
29.669044,0.529452,NGC 768
29.675711,8.348329,NGC 766
29.698625,24.891359,NGC 765
29.712377,-9.586921,NGC 767
29.77983,-67.869635,NGC 802
29.805293,18.954979,NGC 770
29.834876,19.00609,NGC 772
29.927794,-5.964704,NGC 779
29.957771,-55.824921,NGC 795
29.978208,23.643583,NGC 776
30.062789,31.429405,NGC 777
30.27696,-6.816925,NGC 788
30.277788,31.882182,NGC 783
30.321123,28.837464,NGC 784
30.404825,-68.441024,NGC 813
30.563625,15.711928,NGC 792
30.609038,32.072182,NGC 789
30.623208,18.373591,NGC 794
30.866951,38.117452,NGC 797
30.937784,38.259951,NGC 801
30.938625,16.031372,NGC 803
30.983623,-23.313846,NGC 808
31.664031,-41.157435,NGC 822
31.713195,44.574388,NGC 812
31.834037,-25.442732,NGC 823
32.088207,10.995547,NGC 821
32.10529,14.349153,NGC 820
32.13529,6.324165,NGC 825
32.144036,29.234131,NGC 819
32.17654,-7.791091,NGC 829
32.185281,38.776618,NGC 818
32.231513,-56.737143,NGC 852
32.24529,-7.768035,NGC 830
32.35404,-10.135809,NGC 835
32.410706,-10.146365,NGC 838
32.429456,-10.184142,NGC 839
32.538614,39.19134,NGC 828
32.546537,-22.322736,NGC 849
32.572789,-10.319976,NGC 848
32.755698,37.666342,NGC 834
32.801539,3.781669,NGC 851
32.806123,-1.4861,NGC 850
32.821948,37.496897,NGC 841
33.051109,44.568,NGC 846
33.08153,37.47662,NGC 845
33.146533,-31.946057,NGC 857
33.515701,27.877189,NGC 855
33.640705,-0.766657,NGC 863
33.864454,6.001388,NGC 864
33.963613,35.913289,NGC 861
34.271121,1.244173,NGC 875
34.294036,14.548875,NGC 870
34.366501,-59.862975,NGC 888
34.472786,14.521098,NGC 876
34.494869,14.547209,NGC 877
34.779024,-41.748824,NGC 889
34.886535,-16.070245,NGC 887
35.402785,-5.52165,NGC 895
35.504861,33.265793,NGC 890
35.638189,42.346615,NGC 891
35.759449,-20.713295,NGC 907
35.769449,-21.233294,NGC 908
35.834855,41.95106,NGC 898
36.26528,-24.789678,NGC 922
36.345687,42.035504,NGC 909
36.361938,41.824116,NGC 910
36.461115,18.496925,NGC 918
36.52152,42.143838,NGC 914
36.529867,-0.331102,NGC 926
36.586935,-44.445767,NGC 939
36.654866,12.153046,NGC 927
36.674032,-14.515803,NGC 944
36.694448,20.498589,NGC 924
36.820276,33.578015,NGC 925
36.826116,-12.08664,NGC 929
36.894436,41.978005,NGC 923
36.90695,-1.154712,NGC 936
36.923612,27.219413,NGC 928
36.977781,20.3322,NGC 930
37.045697,19.599424,NGC 935
37.062776,31.312741,NGC 931
37.1157,-1.151656,NGC 941
37.13903,20.283312,NGC 938
37.155699,-10.53942,NGC 945
37.189865,-10.51442,NGC 948
37.217769,-41.402437,NGC 954
37.293199,-10.836642,NGC 942
37.299032,-11.025531,NGC 950
37.364859,31.639962,NGC 940
37.640282,-1.107212,NGC 955
37.679032,-2.939154,NGC 958
37.704022,37.135789,NGC 949
37.791526,29.588299,NGC 953
37.946112,-19.881352,NGC 966
38.054446,-17.216633,NGC 967
38.392769,-39.045218,NGC 986
38.498611,20.976644,NGC 976
38.555691,29.311633,NGC 972
38.58444,32.505517,NGC 973
38.656113,-8.785534,NGC 985
38.88653,-7.155536,NGC 991
38.875267,40.916618,NGC 980
39.083165,-54.864926,NGC 1025
39.162331,-54.860204,NGC 1031
39.206938,33.327461,NGC 987
39.481113,2.079172,NGC 1008
39.495279,-1.843322,NGC 1037
39.580279,2.30945,NGC 1009
39.633598,41.529395,NGC 995
39.636946,-6.678037,NGC 1022
39.665264,41.647729,NGC 996
39.698598,41.670506,NGC 999
39.700696,2.216672,NGC 1021
39.733603,34.622182,NGC 1002
39.801112,10.846937,NGC 1024
39.813189,30.153021,NGC 1012
39.819015,40.87273,NGC 1003
39.830279,6.543888,NGC 1026
39.848612,1.09334,NGC 1032
39.872362,-8.133591,NGC 1035
39.96111,18.024982,NGC 1030
40.024029,1.508895,NGC 1038
40.100278,-8.433868,NGC 1042
40.100683,39.062732,NGC 1023
40.121109,19.297203,NGC 1036
40.137361,-8.148035,NGC 1047
40.149445,-8.547201,NGC 1048
40.261111,-6.936648,NGC 1051
40.270694,-8.256091,NGC 1052
40.436528,0.441952,NGC 1055
40.541944,-5.568872,NGC 1063
40.667778,-0.013325,NGC 1068
40.762769,32.491074,NGC 1057
40.802762,41.500785,NGC 1053
40.875266,37.341623,NGC 1058
40.879027,0.308064,NGC 1072
40.918611,1.376673,NGC 1073
40.936104,-29.003841,NGC 1079
40.936519,32.495518,NGC 1062
40.954815,-59.912424,NGC 1096
40.961519,32.511907,NGC 1067
41.324024,-17.7083,NGC 1099
41.399024,-17.686911,NGC 1100
41.499443,-7.578314,NGC 1084
41.579019,-30.272451,NGC 1097
41.604026,-0.496102,NGC 1087
41.607776,3.606392,NGC 1085
41.63986,-0.246658,NGC 1090
41.864443,-0.285269,NGC 1094
41.907776,4.637502,NGC 1095
41.984844,41.246064,NGC 1086
42.068599,34.419127,NGC 1093
42.075276,4.566669,NGC 1101
42.161109,-0.27138,NGC 1104
42.333192,8.092775,NGC 1107
42.494857,-12.164419,NGC 1118
42.899852,-25.700235,NGC 1124
43.21359,42.205508,NGC 1122
43.215274,-1.275823,NGC 1132
43.510274,2.961949,NGC 1137
43.615674,41.580231,NGC 1129
43.638604,-18.635799,NGC 1145
43.640273,-10.026922,NGC 1140
43.80069,-0.183324,NGC 1144
44.272772,-7.688314,NGC 1148
44.349439,-0.309991,NGC 1149
44.733604,-12.398863,NGC 1162
44.927766,25.237474,NGC 1156
45.091936,-17.152746,NGC 1163
45.30775,44.95495,NGC 1160
45.400686,-14.836916,NGC 1172
45.426509,35.205239,NGC 1167
45.657349,-22.867739,NGC 1187
45.660268,-18.897744,NGC 1179
45.748186,-9.132479,NGC 1185
45.851518,-15.623582,NGC 1189
45.894852,-15.679137,NGC 1191
45.896497,46.384393,NGC 1169
45.910685,-15.613859,NGC 1199
45.931518,-15.484693,NGC 1188
45.996084,43.398008,NGC 1171
46.034847,-26.067458,NGC 1201
46.136501,42.339398,NGC 1175
46.155668,42.362731,NGC 1177
46.380667,42.835787,NGC 1186
46.513184,-15.611637,NGC 1209
46.549852,-9.541367,NGC 1208
46.553585,41.85051,NGC 1198
46.62602,-66.775203,NGC 1244
46.719019,-0.796657,NGC 1211
46.733602,-9.54359,NGC 1214
46.754768,-66.937147,NGC 1246
46.827768,-9.611923,NGC 1216
47.046514,-22.961073,NGC 1229
47.046514,-22.924129,NGC 1228
47.063587,38.381625,NGC 1207
47.110685,4.112225,NGC 1218
47.413184,-7.846925,NGC 1234
47.439014,-20.581076,NGC 1232
47.71985,-10.747755,NGC 1238
47.773172,35.387185,NGC 1226
47.807333,41.363567,NGC 1224
47.811517,-8.921924,NGC 1241
47.8311,-8.902202,NGC 1242
48.059433,-10.480533,NGC 1247
48.139001,39.317736,NGC 1233
48.20235,-5.224429,NGC 1248
48.386511,-25.725237,NGC 1255
48.539017,-2.822765,NGC 1253
48.838581,41.354956,NGC 1250
49.109414,41.530234,NGC 1257
49.18455,80.79326,NGC 1184
49.249414,41.356346,NGC 1259
49.306088,-32.575786,NGC 1288
49.32358,-41.107722,NGC 1269
49.36483,41.404957,NGC 1260
49.488182,-0.17138,NGC 1280
49.563591,-27.611069,NGC 1292
49.564762,-66.497428,NGC 1313
49.566079,41.857456,NGC 1265
49.687329,41.467735,NGC 1267
49.687329,41.48829,NGC 1268
49.743996,41.471624,NGC 1270
49.797329,41.353013,NGC 1271
49.809012,-19.101079,NGC 1297
49.838996,41.492179,NGC 1272
49.863579,41.540235,NGC 1273
49.920261,-19.411356,NGC 1300
49.921079,41.548846,NGC 1274
49.952329,41.512457,NGC 1275
49.961925,-26.059959,NGC 1302
49.966079,41.573568,NGC 1277
49.976912,41.563846,NGC 1276
50.026912,41.629957,NGC 1281
50.050662,41.368013,NGC 1282
50.054015,-2.112211,NGC 1298
50.064829,41.39829,NGC 1283
50.243175,-25.512738,NGC 1306
50.346098,-2.316933,NGC 1305
50.402745,41.392735,NGC 1293
50.417328,41.360513,NGC 1294
50.527762,-15.400528,NGC 1309
50.619431,-2.75721,NGC 1308
50.673582,-37.207726,NGC 1316
50.686499,-37.102726,NGC 1317
50.777343,-21.376076,NGC 1315
50.984842,-21.526909,NGC 1319
50.985249,-36.463838,NGC 1326
