name,ra,dec,major,minor,angle
IC171028A    294.8100      1.0750     39.3     32.4      0.0
IC171106A    340.3850      7.4000     18.0     15.8      0.0
IC180117A    206.3250      3.7000     45.8     28.2     90.0
IC180123A     74.4450     11.0700     69.2     30.6     90.0
IC180125A    207.6600     23.6450     22.5     20.7     90.0
IC180205A     17.3650    -10.5500     34.5     30.6     90.0
IC180213A     66.8000      5.8600     39.6     37.6      0.0
IC180228A    295.3350     26.5300     31.4     27.6     90.0
IC180313A    287.2950      5.7500     30.1     27.0     90.0
IC180314A     57.9900      0.5950     49.8     31.5     90.0
IC180316A    271.8750     -1.7800     33.6     31.5      0.0
IC180410A    218.7500      0.5250     36.0     32.7     90.0
IC180417A    305.4300     -3.9750     71.8     29.7     90.0
IC180528A    311.9050      0.2250     30.3     29.7      0.0
IC180608A     68.6350     -0.8650     29.1     28.5      0.0
IC180612A    340.5000      4.2850     62.1     46.1      0.0
IC180613A     37.1600     11.4050     87.3     56.5      0.0
IC180807A    101.1400     11.2800     88.9     64.8     90.0
IC180908A    145.3650     -2.2300     41.7     36.6     90.0
IC180909A    141.3100     26.7700     69.2     59.4     90.0
IC180919A    258.2300     33.3550     33.9     30.1      0.0
IC181008A     77.2900      1.4000     34.2     30.0      0.0
IC181014A    224.4150    -34.9950     41.1     38.1     90.0
IC181023A    269.6450     -8.5250     49.5     40.1      0.0
IC181023B     78.2650     21.3700     30.0     27.7      0.0
IC181114A      5.1300     18.9200     30.6     30.6     90.0
IC181120A     26.0250     13.0300     72.2     60.0     90.0
IC181120B    323.0950     49.1550    130.5     80.6      0.0
IC181121A    132.4150     30.0300    192.6    132.3      0.0
IC181212A    316.1850    -28.1500    120.3     85.8     90.0
IC190113A     57.1050     -0.6000     36.9     33.6     90.0
IC190124A    307.2900    -32.2100     19.8     16.2     90.0
IC190201A    244.7200     38.4500     25.2     21.6      0.0
IC190214A    227.8000     -4.1150     36.5     30.3     90.0
IC190221A    268.3900    -16.7700     32.2     30.6     90.0
