SRC_NAME,RAJ2000,DECJ2000,IAUNAME
4FGL_J0548.5-5218,87.12567138671875,-52.307830810546875,1eRASS J054829.7-521827
4FGL_J0551.0-1622,87.71361541748047,-16.36387825012207,1eRASS J055051.1-162151
4FGL_J0554.3-1009c,88.8844732375,-10.0353452917,1eRASS J055532.1-100200
4FGL_J0557.3-0615,89.32012176513672,-6.285194396972656,1eRASS J055716.6-061707
4FGL_J0558.1-2859,89.499610225,-28.9304174472,1eRASS J055759.5-285550
4FGL_J0559.7-1817,89.94335174560547,-18.296546936035156,1eRASS J055945.9-181748
4FGL_J0603.0-2936,90.71475219726562,-29.64222526550293,1eRASS J060251.5-293831
4FGL_J0604.5-4851,91.1378757917,-48.8299014,1eRASS J060433.0-484951
4FGL_J0604.9-0000,91.2434081,0.0120407444444,1eRASS J060458.6+000046
4FGL_J0606.5-4730,91.6488892208,-47.4985676083,1eRASS J060635.6-472954
4FGL_J0608.9-5456,92.2044149542,-54.9452452944,1eRASS J060848.9-545642
4FGL_J0612.5-3934,93.1574832167,-39.6498004194,1eRASS J061237.4-393900
4FGL_J0616.7-1049,94.1741983333,-10.6856820111,1eRASS J061641.5-104107
4FGL_J0620.5-2512,95.1338207625,-25.254857075,1eRASS J062031.9-251511
4FGL_J0621.2-4648,95.33098602294922,-46.83290100097656,1eRASS J062119.1-464956
4FGL_J0623.6-3351,95.9162940583,-33.8374337278,1eRASS J062340.1-335016
4FGL_J0624.2-2943,96.09291076660156,-29.74694061279297,1eRASS J062422.4-294446
4FGL_J0630.1-2010,97.508056640625,-20.161388397216797,1eRASS J063001.5-200943
4FGL_J0630.2+3228,97.54454803466797,32.43605422973633,1eRASS J063010.6+322610
4FGL_J0638.7+2753,99.6637304667,27.8659891861,1eRASS J063839.0+275159
4FGL_J0640.8+2432,100.209561796,24.5556020028,1eRASS J064050.4+243318
4FGL_J0643.2-5356,100.83421325683594,-53.979671478271484,1eRASS J064320.2-535840
4FGL_J0644.6-2853,101.182348562,-28.8546439528,1eRASS J064443.7-285118
4FGL_J0648.1+1605,102.058207308,16.1157379139,1eRASS J064814.0+160655
4FGL_J0648.2+1745,102.091682437,17.8180089417,1eRASS J064821.8+174900
4FGL_J0650.2-1636,102.602424412,-16.6277015306,1eRASS J065024.7-163738
