SRC_NAME,RAJ2000,DECJ2000,IAUNAME
5BZQ_J0522-0725,80.59666666666666,-7.42038888888889,1eRASS J052223.2-072513
5BZB_J0624-3230,96.18770833333333,-32.51535833333333,1eRASS J062444.9-323055
5BZQ_J0632-5404,98.00479166666666,-54.082638888888894,1eRASS J063201.2-540456
5BZU_J1030+3102,157.74620833333333,31.048808333333334,1eRASS J103059.1+310255
5BZG_J1108-0149,167.24341666666666,-1.8255277777777779,1eRASS J110858.3-014932
5BZQ_J1143+1843,175.775125,18.728558333333332,1eRASS J114306.0+184344
5BZQ_J1314-3303,198.51483333333334,-33.06524722222222,1eRASS J131403.5-330355
5BZG_J2310-4347,347.67375,-43.79285833333333,1eRASS J231041.8-434735
3HSP_J020121.8-225925,30.34075,-22.99053,1eRASS J020121.6-225927
3HSP_J210123.1-454949,315.34608,-45.83039,1eRASS J210122.9-454950
MILLIQUAS_J070947.9-300905,107.4497461,-30.1516274,1eRASS J070948.1-300907
MILLIQUAS_J154458.9-664146,236.2455066,-66.6963444,1eRASS J154459.2-664147
WIBRaLS2_J024008.17-230915.7,40.0340689,-23.1543706,1eRASS J024008.1-230918
WIBRaLS2_J124429.19-401246.9,191.1216498,-40.2130367,1eRASS J124429.2-401247
WIBRaLS2_J235525.79-335755.1,358.8574804,-33.9653308,1eRASS J235525.7-335756
WIBRaLS2_J011508.44-304701.9,18.7851721,-30.7838792,1eRASS J011508.5-304703
WIBRaLS2_J133253.26+020045.7,203.2219569,2.0127026,1eRASS J133253.3+020046
WIBRaLS2_J084600.36+070424.7,131.5015064,7.0735553,1eRASS J084600.5+070424
WIBRaLS2_J135054.51+052208.5,207.7271345,5.3690546,1eRASS J135054.6+052207
WIBRaLS2_J225947.61-740501.0,344.9483815,-74.0836342,1eRASS J225947.3-740459
WIBRaLS2_J223222.57-694544.9,338.0940504,-69.7624933,1eRASS J223223.1-694543
WIBRaLS2_J040321.94-630539.2,60.8414295,-63.094228,1eRASS J040322.0-630539
WIBRaLS2_J045253.97-585348.5,73.2249003,-58.8968294,1eRASS J045254.0-585348
WIBRaLS2_J055947.39-502652.0,89.9474604,-50.4477826,1eRASS J055947.3-502651
WIBRaLS2_J191739.62-453030.7,289.4150925,-45.5085375,1eRASS J191739.6-453030
WIBRaLS2_J125144.07-512805.2,192.9336658,-51.4681247,1eRASS J125144.0-512805
WIBRaLS2_J215705.98-694123.6,329.2749423,-69.6899056,1eRASS J215705.8-694123
WIBRaLS2_J084127.07-754027.7,130.3628176,-75.6743859,1eRASS J084126.9-754028
WIBRaLS2_J135900.18-415252.6,209.7507821,-41.8812865,1eRASS J135900.2-415253
WIBRaLS2_J020639.20-714818.8,31.6633557,-71.805245,1eRASS J020639.1-714819
WIBRaLS2_J224223.72-604430.7,340.5988536,-60.7418799,1eRASS J224223.7-604432
ABC_J0413-0615,63.367665041666655,-6.2504145555555555,1eRASS J041328.1-061500
