name,ra,dec,major,minor,angle
FL16Y J0029.4+2052,7.3593,20.8756,0.0331,0.028,-80.88
FL16Y J0030.0+0554,7.5206,5.9101,0.075,0.0717,55.89
FL16Y J0030.2+0001,7.5668,0.0221,0.0503,0.0466,78.4
FL16Y J0030.2-1648,7.5721,-16.8032,0.0329,0.0287,-57.88
FL16Y J0030.3-4224,7.5882,-42.4099,0.0186,0.0182,-15.08
FL16Y J0030.4+0451,7.6053,4.8628,0.0112,0.011,80.73
FL16Y J0030.6-0211,7.6507,-2.1989,0.0208,0.0201,66.96
FL16Y J0030.9-3615,7.735,-36.2653,0.0446,0.0423,-14.98
FL16Y J0031.1-2330,7.7991,-23.5152,0.0885,0.0603,-35.04
FL16Y J0031.3+0726,7.8306,7.4359,0.0577,0.0429,-45.28
FL16Y J0031.4-5647,7.8723,-56.7857,0.0493,0.04,-15.11
FL16Y J0032.2-5521,8.0627,-55.3611,0.0406,0.0381,65.84
FL16Y J0032.3-5540,8.0832,-55.6732,0.0371,0.0349,-64.64
FL16Y J0032.4-4725,8.1194,-47.4229,0.0638,0.0488,21.23
FL16Y J0032.5-2845,8.1414,-28.76,0.1895,0.1327,82.12
FL16Y J0033.3-2040,8.3269,-20.6814,0.0422,0.0351,49.17
FL16Y J0033.5-1921,8.3942,-19.3579,0.0117,0.0109,34.12
FL16Y J0034.0-4116,8.5076,-41.2812,0.0481,0.0463,79.06
FL16Y J0034.1+3901,8.5329,39.0329,0.0534,0.047,-87.99
FL16Y J0034.3-0534,8.5909,-5.5819,0.0178,0.0172,-77.42
FL16Y J0034.6+6438,8.6519,64.6409,0.0617,0.0605,67.24
FL16Y J0034.6-5727,8.674,-57.4653,0.1151,0.0931,16.69
FL16Y J0035.2-1739,8.8151,-17.6518,0.0525,0.0484,51.08
FL16Y J0035.2+1514,8.8249,15.2487,0.0163,0.0153,64.53
FL16Y J0035.6-0836,8.9147,-8.6063,0.0629,0.0537,-65.25
FL16Y J0035.6+6131,8.9236,61.5298,0.1006,0.0871,-56.26
FL16Y J0035.9+5949,8.9825,59.833,0.0114,0.0112,-89.73
FL16Y J0036.5-2646,9.1288,-26.7767,0.2342,0.1002,-39.48
FL16Y J0036.8+1834,9.2146,18.5717,0.0674,0.0595,-73.92
FL16Y J0036.9+1431,9.2363,14.5324,0.0976,0.0663,-60.73
FL16Y J0037.1-0243,9.2818,-2.7255,0.1609,0.0937,54.52
FL16Y J0037.4+2614,9.365,26.2403,0.0877,0.0859,16.1
FL16Y J0037.6+3658,9.4079,36.98,0.1265,0.0746,4.5
FL16Y J0037.8+1238,9.4725,12.6407,0.0284,0.0256,-6.6
FL16Y J0038.1+0012,9.5358,0.2162,0.0239,0.0225,-72.12
FL16Y J0038.2-2459,9.562,-24.9935,0.0133,0.0128,65.67
FL16Y J0038.8-0144,9.718,-1.7337,0.2218,0.179,-31.89
FL16Y J0038.9-0942,9.7428,-9.7098,0.0901,0.0816,80.28
FL16Y J0039.0-2219,9.7643,-22.319,0.0511,0.0386,-20.21
FL16Y J0039.1+6257,9.777,62.9597,0.0273,0.0262,-4.78
FL16Y J0039.2+4330,9.8062,43.5081,0.0363,0.0344,22.99
FL16Y J0039.7+4203,9.938,42.0623,0.0881,0.076,-6.04
FL16Y J0040.1-2724,10.045,-27.4042,0.0487,0.0455,31.91
FL16Y J0040.3+4049,10.0821,40.8278,0.0323,0.0249,58.72
FL16Y J0040.3-2339,10.0977,-23.666,0.0553,0.0502,18.21
FL16Y J0040.8-7158,10.2228,-71.9705,0.0524,0.0483,28.48
FL16Y J0040.9-6046,10.24,-60.7699,0.2018,0.1495,-84.92
FL16Y J0041.3+3210,10.3481,32.1712,0.1107,0.0653,27.9
FL16Y J0041.4+3800,10.3746,38.0083,0.0409,0.0364,-32.91
FL16Y J0041.6+0833,10.4126,8.565,0.0738,0.0573,-20.46
FL16Y J0041.6+6054,10.4231,60.9165,0.0994,0.0868,81.62
