ra,dec,name
50.49994,23.60255,MG3 J032201+2336
7.57218,-42.41253,PKS 0027-426
351.36203,-48.00382,PKS 2322-482
340.86003,-25.74186,PKS 2240-260
291.70783,61.91178,87GB 192614.4+614823
259.80437,17.75178,PKS 1717+177
251.89437,49.83342,SBS 1646+499
247.67971,52.36072,TXS 1629+524
242.19246,10.4855,4C +10.45
216.92216,-33.09228,PKS 1424-328
195.7634,24.56548,MG2 J130304+2434
184.64554,-1.33176,PKS 1216-010
178.07171,-8.68425,PKS B1149-084
177.58,24.29828,OM 280
166.78623,-44.81878,PKS 1104-445
137.65442,33.49014,Ton 1015
131.7565,-23.61775,PMN J0847-2337
127.71714,24.18308,S3 0827+24
102.05875,-30.73881,PKS 0646-306
96.77804,-35.4876,PKS 0625-35
66.19517,0.60178,PKS 0422+00
15.08662,7.76428,GB6 J0100+0745
11.33026,21.4618,GB6 J0045+2127
351.3693,-35.96483,CTS 0490
302.46792,72.48872,4C +72.28
282.358,-43.23697,PMN J1849-4314
250.50904,-6.35658,TXS 1639-062
238.39018,-31.30875,1RXS J155333.4-311841
224.30345,-42.81022,PKS J1453-426
197.35638,43.08489,B3 1307+433
182.22607,54.69949,TXS 1206+549
179.79695,-22.47692,PKS 1156-221
163.62761,22.18188,87GB 105148.6+222705
132.50168,48.91598,GB6 J0850+4855
132.49163,51.14139,SBS 0846+513
124.45729,-9.5585,TXS 0815-094
118.69044,48.39708,GB1 0751+485
117.97474,33.22294,OI 380
101.11594,-67.2161,PKS 0644-671
97.349,-19.98881,PKS 0627-199
53.45418,29.27543,TXS 0330+291
37.79918,-47.76988,PMN J0231-4746
31.269,32.20829,B2 0202+31
247.65,82.5667,NGC 6251
267.45,-3.05,
350.49924,27.54595,4C +27.50
344.00065,-27.59893,PKS 2253-278
333.0245,23.92809,PKS 2209+236
305.65028,76.18935,S5 2023+760
298.67132,-11.38908,TXS 1951-115
272.82513,3.68717,NVSS J181118+034113
238.38621,12.94769,PKS 1551+130
237.20728,-22.8502,PMN J1548-2251
236.08211,-6.82099,NVSS J154419-064913
200.75364,29.69578,4C +29.48
194.48846,32.49148,ON 393
174.10966,70.15708,Mkn 180
164.68046,-80.06506,PKS 1057-79
155.79819,39.80427,4C +40.25
135.61203,20.84599,NVSS J090226+205045
108.18202,50.55631,GB6 J0712+5033
94.32073,57.02141,87GB 061258.1+570222
78.94731,15.45461,GB6 J0515+1527
73.9615,-46.26631,PKS 0454-46
65.54498,-6.72926,PMN J0422-0643
60.46961,-20.5861,PMN J0401-2034
47.26504,10.48786,PKS 0306+102
28.51177,8.39716,GB6 J0154+0823
18.71982,13.42685,GB6 J0114+1325
18.36206,49.8072,S4 0110+49
12.49595,-57.64081,PKS 0047-579
236.125,-11.4333,1RXS J154439.4-112820
80.825,-25.45,CRTS J052316.9-252737
263.825,-7.2833,
234.85,-33.3833,
196.3587778,-49.46557,NGC 4945
351.32457,39.96102,B3 2322+396
351.18644,-40.6802,1ES 2322-409
334.80871,18.10989,MG1 J221916+1806
326.25464,-33.95455,PMN J2145-3357
323.54296,-1.88811,PKS 2131-021
303.81374,-1.6256,PKS 2012-017
301.97978,-44.57884,PKS 2004-447
301.48581,-23.17417,TXS 2002-233
299.94115,-47.42113,1RXS J195945.8-472531
299.56205,-30.1869,1RXS J195815.6-301119
296.22884,-21.72271,1RXS J194455.3-214318
290.46469,-16.12016,PMN J1921-1607
288.12296,-12.38358,TXS 1909-124
284.57939,-25.18055,PMN J1858-2511
274.66692,9.06284,MG1 J181841+0903
260.68576,10.2266,TXS 1720+102
214.94417,54.38744,OQ 530
171.9953,36.34121,MG2 J112758+3620
165.7647,11.97128,TXS 1100+122
162.44303,14.49405,MG1 J104945+1429
161.09609,80.91096,S5 1039+81
157.82719,50.89328,1ES 1028+511
156.74408,-17.81635,1RXS J102658.5-174905
154.61981,-31.39829,PKS 1016-311
138.25087,-21.05598,MRC 0910-208
123.54871,-10.20286,NVSS J081411-101208
121.78966,-5.68725,PKS 0804-05
117.71683,12.518,OI 280
111.60929,-47.4815,PMN J0726-4728
106.63207,37.74345,GB6 J0706+3744
103.59875,45.23986,B3 0650+453
72.34708,63.53594,S4 0444+63
66.84027,-39.01669,PMN J0427-3900
57.49094,-21.0466,PKS 0347-211
45.96096,-62.19043,PKS 0302-623
29.89312,10.78447,RX J0159.5+1047
18.91875,3.94536,PMN J0115+0356
187.9,-51.2667,PSR J1231-5113
343.81405,24.16981,MG3 J225517+2409
338.535,-26.94572,PMN J2234-2656
336.44691,-4.95039,3C 446
