Name,ra,dec,CatalogName
1eRASSJ120722.4+252727,181.84336,25.45772,N.A.
1eRASSJ121357.1+083206,183.48814,8.53397,LBQS1211+0848
1eRASSJ121547.1+293830,183.94666,29.64171,N.A.
J121606.4+092909,184.02592,9.48594,3HSPJ121606.2+092909
1eRASSJ121856.1+122646,184.73399,12.44528,J121856+122643
1eRASSJ122242.4+030827,185.6764,3.14182,CGCG42-55
1eRASS J122804.1-213547,187.01638,-21.59694,
J123215.8-101522,188.06586,-10.25697,CRATESJ123215-101517
1eRASS J123651.5+250752,189.21517,25.13082,
1eRASS J124429.2-401247,191.12187,-40.21349,
1eRASSJ125607.8+100857,194.03196,10.14824,MC1253+104
1eRASSJ130651.2+033958,196.71373,3.66618,N.A.
1eRASSJ130754.0+064216,196.97552,6.70751,3C281
1eRASSJ130842.7+024327,197.17827,2.72437,N.A.
1eRASS J131318.2-443731,198.32727,-44.62453,
1eRASSJ131319.5+155252,198.33099,15.881,MC1310+161
J131403.5-330355,198.51483,-33.06525,5BZQ J1314-3303
1eRASS J132507.0-323814,201.27931,-32.63683,
1eRASS J133138.1+013152,202.90853,1.53097,
J133253.3+020046,203.22353,2.013,N.A.
J141649.9-115857,214.20833,-11.98275,LCRSB141408.4-114506
1eRASS J142337.4-173113,215.90649,-17.52018,
1eRASS J143144.1-284304,217.93413,-28.71791,
J143202.8-375602,218.01165,-37.93381,J143202-375600
1eRASS J143320.6-283659,218.33599,-28.61655,
1eRASS J143342.7-730435,218.4294,-73.07729,3HSPJ143342.8-730438
1eRASS J145149.4-414504,222.95564,-41.75106,
1eRASS J145955.4-181448,224.9808,-18.24668,
1eRASS J151428.1-252053,228.61719,-25.3479,3HSPJ151428.1-252053
1eRASS J160658.6-664617,241.7437,-66.7715,
1eRASS J162147.2-225311,245.44693,-22.88659,
1eRASS J162601.7-661408,246.50562,-66.23609,
1eRASS J164416.2-771548,251.06791,-77.2638,1FLAT_J164416.4-771548
1eRASS J170917.9-832340,257.32258,-83.3949,
1eRASS J182834.0-592054,277.13987,-59.34825,3HSPJ182833.6-592055
1eRASS J183638.5-375916,279.16057,-37.98759,
1eRASS J190827.5-475345,287.11457,-47.89541,
1eRASS J191639.1-545447,289.16324,-54.9132,
1eRASSJ192114.1-584012,290.30895,-58.67027,N.A.
1eRASSJ192241.9-745355,290.67488,-74.898722,J192241.10-745355
1eRASS J194945.4-794522,297.44136,-79.75643,
1eRASS J200227.0-711934,300.61411,-71.3264,3HSPJ200227.3-711936
1eRASS J200913.4-853842,302.30614,-85.6453,
1eRASS J202943.8-552245,307.43211,-55.37942,
1eRASS J203024.1-503412,307.60083,-50.56994,3HSPJ203024.0-503413
1eRASS J204544.5-613307,311.43502,-61.55165,
1eRASS J205737.5-570027,314.40614,-57.00718,
1eRASS J210519.0-465459,316.33018,-46.91647,
1eRASS J211702.7-485613,319.26101,-48.93689,
1eRASS J211723.6-550507,319.3471,-55.08605,
1eRASS J215307.1-644443,328.27917,-64.74596,
1eRASS J215705.8-694123,329.27456,-69.68963,PKS 2153-69
1eRASS J220303.7-560427,330.76585,-56.07407,
1eRASSJ220916.4-470959,332.31754,-47.1667,5BZU J2209-4710
1eRASS J222231.1-462422,335.62933,-46.40626,
1eRASS J223223.1-694543,338.09686,-69.76206,
1eRASS J223454.8-605210,338.72864,-60.86992,
1eRASS J223504.5-493314,338.76855,-49.55421,
1eRASS J225947.3-740459,344.94797,-74.08356,
1eRASS J230240.0-453359,345.66591,-45.56647,
1eRASS J230343.4-680735,345.93134,-68.12706,5BZQJ2303-6807
1eRASS J231347.8-692329,348.44945,-69.39183,3HSPJ231347.9-692331
1eRASS J231905.9-420648,349.77439,-42.1137,5BZGJ2319-4206
1eRASS J232459.5-722143,351.24611,-72.36201,
1eRASS J232552.8-532850,351.47006,-53.48061,
1eRASS J233553.1-581015,353.97044,-58.1709,3HSPJ233553.0-581016
1eRASS J233920.9-740434,354.83636,-74.07636,3HSPJ233920.9-740436
