16YName,4FGLName,1FLATName,16Y_ASSOC1,New/confirmed,WHO-1,Second evaluation,WHO-2,comment,nu_syn,nuFnu_syn,1/2FLATra,1/2FLATdec,4LAC_ASSOC1,4FGL_ASSOC1
FL16Y J1955.0-1604,4FGL J1955.1-1604,1FLAT J195500.7-160337,1RXS J195500.6-160328,,,,,,16.9,-11.6,298.75272,-16.06042,1RXS J195500.6-160328,1RXS J195500.6-160328
FL16Y J1955.3-5031,4FGL J1955.3-5032,1FLAT J195512.5-503007,1eRASS J195512.5-503005,,,,,,16.6,-12.3,298.802018,-50.502001,,
FL16Y J1955.7+0214,4FGL J1955.7+0214,1FLAT J195547.9+021512,NVSS J195547+021514,,,,,,15.6,-11.3,298.949453,2.253602,NVSS J195547+021514,NVSS J195547+021514
FL16Y J1958.1+6942,4FGL J1958.2+6942,1FLAT J195812.7+694325,WISEA J195812.67+694325.1,,,,,,16.3,-12.2,299.55282,69.72365,,
FL16Y J1958.2-3010,4FGL J1958.3-3010,1FLAT J195814.9-301112,1RXS J195815.6-301119,,,,,,16.4,-11.3,299.56205,-30.1869,1RXS J195815.6-301119,1RXS J195815.6-301119
FL16Y J2000.0+6509,4FGL J2000.0+6508,1FLAT J195959.8+650854,1ES 1959+650,,,,,,16.9,-10.1,299.9993,65.14848,1ES 1959+650,1ES 1959+650
FL16Y J2002.3-7119,4FGL J2002.4-7119,1FLAT J200227.1-711935,SUMSS J200227-711940,,,,,,17.8,-11.5,300.61282,-71.32639,SUMSS J200227-711940,SUMSS J200227-711940
FL16Y J2002.9+6302,4FGL J2002.6+6302,1FLAT J200245.4+630233,1RXS J200245.4+630226,,,,,,16.8,-12.5,300.68908,63.04258,1RXS J200245.4+630226,1RXS J200245.4+630226
FL16Y J2005.2+7003,4FGL J2005.1+7003,1FLAT J200506.3+700440,1RXS J200504.0+700445,,,,,,17.0,-11.8,301.27625,70.07797,1RXS J200504.0+700445,1RXS J200504.0+700445
FL16Y J2007.7-8538,,2FLAT J200913.2-853844,1eRASS J200913.4-853842,Confirmed F16Y,P.G.,,,,17.5,-12.1,302.30506,-85.64566,,
FL16Y J2009.4-4849,4FGL J2009.4-4849,1FLAT J200925.6-484952,PKS 2005-489,,,,,,15.6,-10.6,302.35667,-48.83135,PKS 2005-489,PKS 2005-489
FL16Y J2012.2-5233,4FGL J2012.1-5234,1FLAT J201213.7-523251,WISEA J201213.71-523251.1,,,,,,16.2,-12.2,303.0572,-52.54754,,
