16YName,4FGLName,1FLATName,16Y_ASSOC1,New/confirmed,WHO-1,Second evaluation,WHO-2,comment,nu_syn,nuFnu_syn,1/2FLATra,1/2FLATdec,4LAC_ASSOC1,4FGL_ASSOC1
FL16Y J0000.0+3145,4FGL J2359.9+3145,1FLAT J235955.3+314600,NVSS J235955+314558,,,,,,16.1,-12.0,359.98042,31.76667,NVSS J235955+314558,
FL16Y J0000.9+2531,4FGL J0000.7+2530,1FLAT J000027.9+252804,,Confirmed 1FLAT,,,,,17.4,-12.3,0.1164016,25.4680553,,
FL16Y J0001.5-4155,4FGL J0001.6-4156,1FLAT J000132.7-415524,2MASS J00013275-4155252,,,,,,16.0,-11.5,0.38624,-41.9234112,2MASS J00013275-4155252,2MASS J00013275-4155252
FL16Y J0002.3-6728,4FGL J0002.1-6728,1FLAT J000215.4-672652,SUMSS J000215-672653,,,,,,16.0,-11.9,0.56422,-67.44797,SUMSS J000215-672653,SUMSS J000215-672653
FL16Y J0003.2-5248,4FGL J0003.1-5248,1FLAT J000319.6-524727,RBS 0006,,,,,,17.0,-11.9,0.8315,-52.79094,RBS 0006,RBS 0006
FL16Y J0008.4-2339,4FGL J0008.4-2339,1FLAT J000835.4-233927,RBS 0016,,,,,,16.4,-11.8,2.14755,-23.65754,RBS 0016,RBS 0016
FL16Y J0009.8+1339,4FGL J0009.8+1340,1FLAT J000957.2+134058,RX J0009.9+1341,,,,,,16.8,-12.3,2.48842,13.68303,RX J0009.9+1341,RX J0009.9+1341
FL16Y J0010.8+4725,,2FLAT J001044.5+472405,,New blazar,P.G.,,,HBL,16.1,-12.4,2.68525,47.40166,,
FL16Y J0013.4+0949,4FGL J0013.4+0950,1FLAT J001328.7+094929,1RXS J001328.4+094942,,,,,,17.3,-11.9,3.36947,9.82486,1RXS J001328.4+094942,1RXS J001328.4+094942
FL16Y J0013.9-1854,4FGL J0013.9-1854,1FLAT J001356.0-185403,RBS 0030,,,,,,17.3,-11.3,3.48333,-18.90108,RBS 0030,RBS 0030
FL16Y J0014.2-5022,4FGL J0014.1-5022,1FLAT J001411.5-502235,RBS 0032,,,,,,16.9,-11.7,3.54798,-50.37649,RBS 0032,RBS 0032
FL16Y J0015.3+3536,4FGL J0015.2+3537,1FLAT J001528.3+353641,RX J0015.4+3536,,,,,,16.1,-12.3,3.86785,35.61166,RX J0015.4+3536,RX J0015.4+3536
FL16Y J0018.5+2947,4FGL J0018.4+2946,1FLAT J001827.8+294730,RBS 0042,,,,,,17.5,-11.6,4.61575,29.79189,RBS 0042,RBS 0042
FL16Y J0022.0+0007,4FGL J0022.0+0006,1FLAT J002200.8+000656,RX J0022.0+0006,,,,,,17.4,-12.0,5.50317,0.11567,RX J0022.0+0006,RX J0022.0+0006
FL16Y J0026.1-0732,4FGL J0026.1-0732,1FLAT J002611.6-073115,WISEA J002611.62-073115.5,,,,,,16.9,-11.9,6.54842,-7.52097,,
FL16Y J0026.6-4600,4FGL J0026.6-4600,1FLAT J002635.6-460109,1RXS J002636.3-460101,,,,,,16.1,-11.7,6.64842,-46.01936,1RXS J002636.3-460101,1RXS J002636.3-460101
FL16Y J0027.0-1135,4FGL J0027.0-1134,1FLAT J002710.1-113637,,,,,,,15.9,-12.0,6.79219,-11.61055,,
FL16Y J0029.4+2052,4FGL J0029.4+2051,1FLAT J002928.5+205337,NVSS J002928+205332,,,,,,16.5,-12.3,7.36893,20.89371,NVSS J002928+205332,NVSS J002928+205332
FL16Y J0030.2-1648,4FGL J0030.2-1647,1FLAT J003020.4-164712,2MASS J00302045-1647130,,,,,,15.7,-12.0,7.58508,-16.78694,2MASS J00302045-1647130,2MASS J00302045-1647130
FL16Y J0031.1-2330,4FGL J0031.0-2327,1FLAT J003120.5-233401,WISEA J003120.54-233401.4,,,,,,17.1,-12.3,7.83558,-23.56706,,
FL16Y J0031.3+0726,4FGL J0031.3+0726,1FLAT J003119.7+072453,NVSS J003119+072456,,,,,,15.7,-12.2,7.83212,7.41483,NVSS J003119+072456,NVSS J003119+072456
FL16Y J0031.4-5647,4FGL J0031.5-5648,1FLAT J003135.4-564641,1eRASS J003135.3-564638,,,,,,15.9,-12.6,7.89751,-56.77808,,
FL16Y J0032.3-5540,4FGL J0032.3-5539,1FLAT J003227.0-554010,1eRASS J003226.9-554011,,,,,,17.1,-12.5,8.11238,-55.66948,,
FL16Y J0032.4-4725,4FGL J0032.5-4724,1FLAT J003222.6-472536,SUMSS J003222-472538,,,,,,16.5,-12.6,8.09404,-47.42669,SUMSS J003222-472538,SUMSS J003222-472538
FL16Y J0033.3-2040,4FGL J0033.3-2040,1FLAT J003322.3-203907,RBS 0075,,,,,,16.9,-12.1,8.34307,-20.65199,RBS 0075,RBS 0075
FL16Y J0033.5-1921,4FGL J0033.5-1921,1FLAT J003334.4-192132,KUV 00311-1938,,,,,,15.8,-11.2,8.39317,-19.35914,KUV 00311-1938,KUV 00311-1938
FL16Y J0039.0-2219,4FGL J0039.1-2219,1FLAT J003908.1-222003,PMN J0039-2220,,,,,,16.7,-11.8,9.78373,-22.33421,PMN J0039-2220,PMN J0039-2220
FL16Y J0041.4+3800,4FGL J0041.4+3800,1FLAT J004123.0+375855,B3 0038+377,,,,,,16.1,-12.0,10.34596,37.98214,B3 0038+377,B3 0038+377
FL16Y J0041.6+0833,,2FLAT J004139.0+083353,3HSP J004143.2+083318,Confirmed F16Y,P.G.,,,,16.7,-12.4,10.43018,8.55513,,
FL16Y J0041.7-1607,4FGL J0041.7-1607,1FLAT J004141.2-160747,GALEXASC J004141.24-160746.6,,,,,,16.2,-12.4,10.42171,-16.12978,GALEXASC J004141.24-160746.6,GALEXASC J004141.24-160746.6
FL16Y J0041.8-4701,4FGL J0041.9-4702,1FLAT J004147.0-470138,RBS 0097,,,,,,17.8,-11.6,10.44598,-47.02735,RBS 0097,RBS 0097
FL16Y J0042.1+3640,4FGL J0042.0+3640,1FLAT J004208.1+364112,RX J0042.0+3641,,,,,,16.1,-12.1,10.53371,36.68694,RX J0042.0+3641,RX J0042.0+3641
FL16Y J0042.3+3509,4FGL J0042.3+3509,2FLAT J004208.1+350824,,,,,,,16.2,-12.6,10.5375,35.14,,
FL16Y J0043.5-0443,4FGL J0043.5-0442,1FLAT J004334.1-044301,1RXS J004333.7-044257,,,,,,16.4,-11.9,10.89218,-4.71699,1RXS J004333.7-044257,1RXS J004333.7-044257
FL16Y J0043.7-1116,4FGL J0043.7-1116,1FLAT J004348.7-111606,1RXS J004349.3-111612,,,,,,15.8,-12.0,10.95271,-11.26861,1RXS J004349.3-111612,1RXS J004349.3-111612
FL16Y J0045.3+2127,4FGL J0045.3+2128,1FLAT J004519.3+212742,GB6 J0045+2127,,,,,,16.0,-11.3,11.33026,21.4618,GB6 J0045+2127,GB6 J0045+2127
FL16Y J0047.9+3948,4FGL J0047.9+3947,1FLAT J004755.2+394857,B3 0045+395,,,,,,15.9,-11.7,11.9799,39.81598,B3 0045+395,B3 0045+395
FL16Y J0049.1+4223,4FGL J0049.1+4223,1FLAT J004859.2+422351,GALEXASC J004859.14+422351.4,,,,,,16.0,-12.4,12.24646,42.39753,GALEXASC J004859.14+422351.4,GALEXASC J004859.14+422351.4
FL16Y J0049.5-4151,4FGL J0049.5-4150,1FLAT J004938.9-415136,SUMSS J004938-415140,,,,,,16.4,-12.5,12.41203,-41.86007,SUMSS J004938-415140,SUMSS J004938-415140
FL16Y J0050.9-3428,4FGL J0050.8-3428,1FLAT J005048.4-342849,2MASS J00504851-3428514,,,,,,16.2,-12.3,12.70176,-34.48043,2MASS J00504851-3428514,2MASS J00504851-3428514
FL16Y J0051.2-6242,4FGL J0051.2-6242,1FLAT J005115.9-624204,1RXS J005117.7-624154,,,,,,15.8,-11.2,12.81644,-62.70128,1RXS J005117.7-624154,1RXS J005117.7-624154
FL16Y J0053.4-6645,4FGL J0052.9-6644,1FLAT J005347.7-664517,3HSP J005347.7-664517,,,,,,17.6,-12.1,13.44892,-66.75494,PMN J0052-6641,PMN J0052-6641
FL16Y J0054.7-2455,4FGL J0054.7-2455,1FLAT J005446.7-245528,FRBA J0054-2455,,,,,,16.0,-11.6,13.69475,-24.92472,FRBA J0054-2455,FRBA J0054-2455
FL16Y J0055.7+4506,4FGL J0055.7+4507,1FLAT J005542.7+450701,WISEA J005542.70+450701.4,,,,,,15.8,-12.6,13.92792,45.11706,,
FL16Y J0056.3-0936,4FGL J0056.3-0935,1FLAT J005620.0-093630,TXS 0053-098,,,,,,15.9,-11.3,14.08354,-9.6085,TXS 0053-098,TXS 0053-098
FL16Y J0058.2-4606,4FGL J0058.3-4603,1FLAT J005806.2-460418,1eRASS J005806.0-460419,,,,,,18.1,-12.2,14.52593,-46.07194,,
FL16Y J0058.3+1723,4FGL J0058.3+1723,1FLAT J005816.9+172310,RX J00582+1723,,,,,,17.2,-12.0,14.57024,17.38621,RX J00582+1723,RX J00582+1723
FL16Y J0059.3-0151,4FGL J0059.3-0152,1FLAT J005917.0-015017,RX J0059.3-0150,,,,,,17.3,-11.8,14.82069,-1.83811,RX J0059.3-0150,RX J0059.3-0150
FL16Y J0101.7-5456,4FGL J0101.7-5455,1FLAT J010142.0-545547,MRSS 151-121576,,,,,,15.8,-12.4,15.42504,-54.92983,MRSS 151-121576,MRSS 151-121576
FL16Y J0102.8-2001,4FGL J0102.7-2001,1FLAT J010250.9-200157,PMN J0102-2001,,,,,,16.4,-12.2,15.71223,-20.03251,PMN J0102-2001,PMN J0102-2001
FL16Y J0103.9+3514,,2FLAT J010353.2+351322,3HSP J010353.2+351322,Confirmed F16Y,P.G.,,,,17.0,-12.7,15.97174,35.22294,,
FL16Y J0107.3+0458,4FGL J0107.4+0459,1FLAT J010743.9+045751,,,,,,,15.8,-12.5,16.93284,4.96438,,
FL16Y J0110.0-4020,4FGL J0110.0-4019,1FLAT J010956.3-402048,RBS 0158,,,,,,16.6,-11.9,17.48454,-40.34693,RBS 0158,RBS 0158
FL16Y J0110.1+4151,4FGL J0110.2+4151,1FLAT J011004.8+414950,6C B010709.9+413321,,,,,,16.1,-12.0,17.51982,41.83075,6C B010709.9+413321,6C B010709.9+413321
FL16Y J0110.7-1254,4FGL J0110.7-1254,1FLAT J011049.9-125504,1RXS J011050.0-125455,,,,,,17.2,-11.7,17.7079,-12.91802,1RXS J011050.0-125455,1RXS J011050.0-125455
FL16Y J0111.3+0534,4FGL J0111.4+0534,1FLAT J011130.1+053625,1RXS J011130.5+053612,,,,,,18.3,-12.0,17.87549,5.60706,1RXS J011130.5+053612,1RXS J011130.5+053612
FL16Y J0112.5-7506,4FGL J0112.8-7506,1FLAT J011231.4-750617,2MASS J01123146-7506179,,,,,,15.8,-12.0,18.13083,-75.10494,2MASS J01123146-7506179,2MASS J01123146-7506179
FL16Y J0112.6-3159,4FGL J0112.6-3158,1FLAT J011232.9-320142,RX J011232.8-320140,,,,,,16.5,-12.6,18.13729,-32.0285,RX J011232.8-320140,RX J011232.8-320140
FL16Y J0114.9-3359,4FGL J0114.9-3400,1FLAT J011501.6-340027,1RXS J011501.3-340008,,,,,,18.0,-11.6,18.75681,-34.00751,1RXS J011501.3-340008,1RXS J011501.3-340008
FL16Y J0115.6-5652,4FGL J0115.6-5653,1FLAT J011548.8-565527,1RXS J011549.6-565520,,,,,,17.7,-12.3,18.95345,-56.92433,,1RXS J011549.6-565520
FL16Y J0115.8+2520,4FGL J0115.8+2519,1FLAT J011546.1+251948,RX J0115.7+2519,,,,,,16.0,-11.5,18.94194,25.33012,RX J0115.7+2519,RX J0115.7+2519
FL16Y J0115.9-2745,4FGL J0116.0-2745,1FLAT J011555.5-274434,1RXS J011555.6-274428,,,,,,16.9,-12.0,18.98124,-27.74304,1RXS J011555.6-274428,1RXS J011555.6-274428
FL16Y J0117.7-2441,4FGL J0117.5-2442,1FLAT J011747.0-244333,1RXS J011746.6-244329,,,,,,17.8,-12.1,19.44579,-24.72603,1RXS J011746.6-244329,1RXS J011746.6-244329
FL16Y J0119.0-1459,4FGL J0119.0-1458,1FLAT J011904.6-145856,1RXS J011905.4-145906,,,,,,16.7,-11.7,19.76929,-14.98231,1RXS J011905.4-145906,1RXS J011905.4-145906
FL16Y J0119.7-7944,4FGL J0120.2-7944,1FLAT J011913.6-794512,,,,,,,16.2,-12.5,19.80683,-79.75355,,
FL16Y J0121.8-3915,4FGL J0121.8-3916,1FLAT J012152.7-391544,NVSS J012152-391547,,,,,,16.5,-11.8,20.46954,-39.26228,NVSS J012152-391547,NVSS J012152-391547
FL16Y J0122.0-3005,4FGL J0122.1-3004,1FLAT J012203.8-300510,1RXS J012203.6-300507,,,,,,17.9,-12.4,20.51592,-30.08615,1RXS J012203.6-300507,1RXS J012203.6-300507
FL16Y J0122.4+1034,4FGL J0122.4+1034,1FLAT J012223.6+103213,,,,,,,16.4,-12.3,20.59843,10.537,,
FL16Y J0123.1+3421,4FGL J0123.1+3421,1FLAT J012308.6+342048,1ES 0120+340,,,,,,18.3,-11.3,20.78596,34.34681,1ES 0120+340,1ES 0120+340
FL16Y J0123.7-2310,4FGL J0123.7-2311,1FLAT J012338.3-231058,1RXS J012338.2-231100,,,,,,17.3,-11.5,20.90975,-23.18294,1RXS J012338.2-231100,1RXS J012338.2-231100
FL16Y J0123.7+4210,4FGL J0123.7+4209,1FLAT J012340.4+421018,NVSS J012340+421010,,,,,,18.0,-11.6,20.91825,42.17169,NVSS J012340+421010,NVSS J012340+421010
FL16Y J0125.9-6304,4FGL J0125.9-6303,1FLAT J012548.2-630245,1eRASS J012548.3-630244,,,,,,16.2,-12.8,21.45082,-63.04588,,
FL16Y J0125.9-6746,4FGL J0126.3-6746,1FLAT J012610.9-674743,WISEA J012622.20-674623.4,,,,,,16.1,-12.5,21.54539,-67.7953,,
FL16Y J0127.0+3308,4FGL J0127.1+3310,1FLAT J012657.3+330728,NVSS J012656+330727,,,,,,16.4,-12.0,21.73859,33.12458,NVSS J012656+330727,NVSS J012656+330727
FL16Y J0127.2+0324,4FGL J0127.2+0324,1FLAT J012714.0+032259,NVSS J012713+032259,,,,,,15.6,-11.8,21.80826,3.38328,NVSS J012713+032259,NVSS J012713+032259
FL16Y J0132.4-3602,,2FLATJ013206.7-360107,,New blazar,P.G.,,,,16.1,-12.3,23.02804,-36.01877,,
FL16Y J0132.7-0804,4FGL J0132.7-0804,1FLAT J013241.1-080403,PKS 0130-083,,,,,,16.7,-11.9,23.17128,-8.0677,PKS 0130-083,PKS 0130-083
FL16Y J0133.1-4533,4FGL J0133.2-4533,1FLAT J013309.3-453524,1RXS J013308.8-453528,,,,,,16.4,-12.6,23.28867,-45.59,1RXS J013308.8-453528,1RXS J013308.8-453528
FL16Y J0134.5+2638,4FGL J0134.5+2637,1FLAT J013428.2+263842,RX J0134.4+2638,,,,,,15.8,-11.6,23.61746,26.64525,RX J0134.4+2638,RX J0134.4+2638
FL16Y J0135.1+0254,4FGL J0135.1+0255,1FLAT J013507.0+025542,1RXS J013506.7+025558,,,,,,16.5,-12.4,23.77933,2.9285,1RXS J013506.7+025558,1RXS J013506.7+025558
FL16Y J0135.4-2728,4FGL J0135.3-2728,1FLAT J013523.8-272817,1RXS J013523.1-272807,,,,,,17.0,-12.1,23.84918,-27.47139,,1RXS J013523.1-272807
FL16Y J0136.5+3906,4FGL J0136.5+3906,1FLAT J013632.9+390600,B3 0133+388,,,,,,16.2,-10.8,24.13713,39.10011,B3 0133+388,B3 0133+388
FL16Y J0137.3-3240,4FGL J0137.3-3239,1FLAT J013724.5-324039,1eRASS J013724.5-324037,,,,,,16.0,-12.6,24.35211,-32.67761,,
FL16Y J0140.7-0758,4FGL J0140.6-0758,1FLAT J014041.2-075852,RX J0140.7-0758,,,,,,16.3,-12.1,25.17151,-7.98115,RX J0140.7-0758,RX J0140.7-0758
FL16Y J0143.7-5846,4FGL J0143.7-5846,1FLAT J014347.4-584551,SUMSS J014347-584550,,,,,,16.5,-11.2,25.94754,-58.76428,SUMSS J014347-584550,SUMSS J014347-584550
FL16Y J0147.6-6028,4FGL J0147.6-6028,1FLAT J014753.7-602811,WISEA J014753.66-602811.7,,,,,,18.5,-11.7,26.97358,-60.46992,WISEA J014753.66-602811.7,WISEA J014753.66-602811.7
FL16Y J0150.7-5449,4FGL J0150.6-5448,1FLAT J015044.5-545004,PMN J0150-5450,,,,,,15.9,-12.1,27.68542,-54.83472,PMN J0150-5450,PMN J0150-5450
FL16Y J0152.6-5011,,2FLAT J015238.4-501014,1eRASS J015238.2-501015,Confirmed F16Y,P.G.,,,,18.0,-12.1,28.15984,-50.17064,,
FL16Y J0152.6+0146,4FGL J0152.6+0147,1FLAT J015239.7+014715,PMN J0152+0146,,,,,,15.9,-11.3,28.16544,1.78763,PMN J0152+0146,PMN J0152+0146
FL16Y J0152.9-1108,4FGL J0152.9-1109,2FLAT J015313.2-110627,3HSP J015313.2-110627,Confirmed F16Y,P.G.,,,,17.1,-12.1,28.30498,-11.10751,,
FL16Y J0153.1+7517,4FGL J0153.0+7517,1FLAT J015307.4+751742,1RXS J015308.4+751756,,,,,,15.6,-11.9,28.28067,75.29522,1RXS J015308.4+751756,1RXS J015308.4+751756
FL16Y J0156.0+1503,4FGL J0156.1+1502,1FLAT J015600.1+150213,RX J0156.0+1502,,,,,,17.6,-12.1,29.0004,15.03705,RX J0156.0+1502,RX J0156.0+1502
FL16Y J0156.3-2419,4FGL J0156.3-2420,1FLAT J015624.5-242003,WISEA J015624.54-242003.7,,,,,,15.9,-12.1,29.10229,-24.33435,,
FL16Y J0156.9-5302,4FGL J0156.9-5301,1FLAT J015657.9-530203,1RXS J015658.6-530208,,,,,,17.3,-11.3,29.24133,-53.03441,1RXS J015658.6-530208,1RXS J015658.6-530208
FL16Y J0157.0-3235,4FGL J0156.9-3235,1FLAT J015700.8-323526,NVSS J015700-323527,,,,,,17.3,-12.2,29.25316,-32.59056,NVSS J015700-323527,NVSS J015700-323527
FL16Y J0157.6+3819,,2FLAT J015746.3+381211,,New blazar,P.G.,,,check the SED,15.9,-12.7,29.4454914,38.2054011,,
FL16Y J0158.2+2516,4FGL J0158.2+2515,1FLAT J015809.9+251540,NVSS J015809+251538,,,,,,17.1,-11.9,29.54142,25.26136,NVSS J015809+251538,NVSS J015809+251538
FL16Y J0159.5-3052,,2FLAT J015924.7-305320,1eRASS J015924.5-305315,Confirmed F16Y,P.G.,,,,16.0,-12.7,29.85277,-30.88896,,
FL16Y J0159.5+1046,4FGL J0159.5+1046,1FLAT J015934.3+104704,RX J0159.5+1047,,,,,,15.6,-11.6,29.89312,10.78447,RX J0159.5+1047,RX J0159.5+1047
FL16Y J0159.8-2235,4FGL J0159.8-2234,1FLAT J015947.0-223250,,,,,,,16.1,-12.8,29.94601,-22.54732,,
FL16Y J0200.3-4109,4FGL J0200.3-4109,1FLAT J020020.9-410935,1RXS J020021.0-410936,,,,,,15.9,-12.3,30.08725,-41.15992,1RXS J020021.0-410936,1RXS J020021.0-410936
FL16Y J0201.0+0034,4FGL J0201.1+0036,1FLAT J020106.2+003400,MS 0158.5+0019,,,,,,16.9,-11.8,30.27575,0.56672,MS 0158.5+0019,MS 0158.5+0019
FL16Y J0201.1-4347,4FGL J0201.1-4347,1FLAT J020110.9-434657,GALEXASC J020110.83-434654.8,,,,,,15.8,-12.5,30.29542,-43.78277,GALEXASC J020110.83-434654.8,GALEXASC J020110.83-434654.8
FL16Y J0202.3-3531,4FGL J0202.3-3531,1FLAT J020234.4-353009,,,,,,,16.3,-12.7,30.64337,-35.50267,,
FL16Y J0202.4+0848,4FGL J0202.4+0849,1FLAT J020226.5+084915,TXS 0159+085,,,,,,16.0,-12.1,30.61056,8.82093,TXS 0159+085,TXS 0159+085
FL16Y J0202.7+3133,4FGL J0202.7+3133,1FLAT J020242.1+313210,,,,,,,15.8,-12.2,30.67526,31.53638,,
FL16Y J0202.7+8119,4FGL J0203.9+8120,1FLAT J020136.7+812029,,,,,,,17.6,-11.9,30.40271,81.34141,,
FL16Y J0204.2-3333,4FGL J0204.0-3334,1FLAT J020412.8-333341,1RXS J020413.6-333345,,,,,,18.3,-11.7,31.05325,-33.56142,1RXS J020413.6-333345,1RXS J020413.6-333345
FL16Y J0204.3-3141,4FGL J0204.3-3140,1FLAT J020416.6-314458,MRSS 414-035156,,,,,,16.1,-12.5,31.06915,-31.74959,MRSS 414-035156,MRSS 414-035156
FL16Y J0208.6+3523,4FGL J0208.6+3523,1FLAT J020838.2+352312,MS 0205.7+3509,,,,,,16.1,-12.1,32.15898,35.38694,MS 0205.7+3509,MS 0205.7+3509
FL16Y J0209.3-5229,4FGL J0209.3-5228,1FLAT J020921.5-522922,PMN J0209-5229,,,,,,16.0,-11.2,32.33955,-52.48962,PMN J0209-5229,PMN J0209-5229
FL16Y J0209.3+4449,4FGL J0209.3+4449,1FLAT J020916.9+444946,1RXS J020917.6+444951,,,,,,17.1,-11.5,32.32042,44.82969,1RXS J020917.6+444951,1RXS J020917.6+444951
FL16Y J0210.0+2637,4FGL J0209.8+2626,1FLAT J020946.7+262530,3HSP J020946.7+262531,,,,,,18.9,-12.0,32.44471,26.42527,,
FL16Y J0212.0-2558,4FGL J0212.2-2559,1FLAT J021205.8-255758,PMN J0212-2558,,,,,,15.7,-12.2,33.024,-25.96622,PMN J0212-2558,PMN J0212-2558
FL16Y J0212.2-0220,4FGL J0212.2-0219,1FLAT J021216.9-022155,RX J0212.3-0222,,,,,,17.3,-11.8,33.07033,-2.36547,RX J0212.3-0222,RX J0212.3-0222
FL16Y J0212.4-3502,4FGL J0212.4-3502,1FLAT J021230.5-350327,RBS 0292,,,,,,15.7,-12.1,33.12718,-35.05772,RBS 0292,RBS 0292
FL16Y J0213.9-6950,4FGL J0213.8-6949,1FLAT J021358.7-695137,2MASS J02135882-6951360,,,,,,17.4,-11.8,33.49447,-69.8603,2MASS J02135882-6951360,2MASS J02135882-6951360
FL16Y J0214.2-4733,4FGL J0214.1-4733,1FLAT J021409.9-473235,2MASS J02140989-4732357,,,,,,16.2,-12.4,33.54113,-47.54322,2MASS J02140989-4732357,2MASS J02140989-4732357
FL16Y J0214.6-4334,4FGL J0214.6-4333,1FLAT J021439.6-433329,1RXS J021439.0-433319,,,,,,17.2,-12.3,33.66487,-43.55813,1RXS J021439.0-433319,1RXS J021439.0-433319
FL16Y J0215.1-1619,4FGL J0215.2-1619,1FLAT J021515.3-161738,NVSS J021515-161738,,,,,,17.3,-12.0,33.81355,-16.29398,NVSS J021515-161738,NVSS J021515-161738
FL16Y J0216.6+2314,4FGL J0216.5+2313,1FLAT J021632.1+231450,RBS 0298,,,,,,16.3,-11.9,34.13373,23.24732,RBS 0298,RBS 0298
FL16Y J0216.8-6636,4FGL J0216.8-6635,1FLAT J021650.9-663642,RBS 0300,,,,,,15.7,-11.6,34.21196,-66.61183,RBS 0300,RBS 0300
FL16Y J0219.1-1723,4FGL J0219.1-1724,1FLAT J021905.7-172514,1RXS J021905.8-172503,,,,,,16.6,-11.8,34.77357,-17.42062,1RXS J021905.8-172503,1RXS J021905.8-172503
FL16Y J0220.0-3001,4FGL J0220.0-3001,2FLAT J021952.9-300135,1eRASS J021952.8-300135,Confirmed F16Y,P.G.,,,,17.3,-12.0,34.9704,-30.0266,,
FL16Y J0223.1-1117,4FGL J0223.1-1117,1FLAT J022314.2-111738,1RXS J022314.6-111741,,,,,,15.9,-12.0,35.80929,-11.29397,1RXS J022314.6-111741,1RXS J022314.6-111741
FL16Y J0225.4-5618,4FGL J0225.5-5618,1FLAT J022540.8-561812,1RXS J022541.7-561802,,,,,,18.1,-12.5,36.41992,-56.30339,1RXS J022541.7-561802,1RXS J022541.7-561802
FL16Y J0226.6-4440,4FGL J0226.5-4441,1FLAT J022639.1-444122,RBS 0318,,,,,,16.8,-11.7,36.66282,-44.6896,RBS 0318,RBS 0318
FL16Y J0227.2+0201,4FGL J0227.3+0201,1FLAT J022716.6+020201,RX J0227.2+0201,,,,,,16.5,-11.7,36.81924,2.03385,RX J0227.2+0201,RX J0227.2+0201
FL16Y J0231.2+3507,4FGL J0231.0+3505,1FLAT J023112.2+350444,,,,,,,17.4,-12.0,37.80066,35.07905,,
FL16Y J0232.6-1120,4FGL J0232.5-1118,1FLAT J023241.9-112024,PMN J0232-1120,,,,,,16.2,-12.0,38.17454,-11.34026,PMN J0232-1120,PMN J0232-1120
FL16Y J0232.7+2017,4FGL J0232.8+2018,1FLAT J023248.6+201717,1ES 0229+200,,,,,,17.9,-11.3,38.20257,20.28817,1ES 0229+200,1ES 0229+200
FL16Y J0233.5+0655,4FGL J0233.5+0654,1FLAT J023341.0+065611,TXS 0230+067,,,,,,17.2,-11.8,38.42081,6.93641,TXS 0230+067,TXS 0230+067
FL16Y J0234.4+8043,4FGL J0233.9+8041,1FLAT J023430.6+804337,1RXS J023428.6+804341,,,,,,16.4,-12.1,38.62754,80.72703,1RXS J023428.6+804341,1RXS J023428.6+804341
FL16Y J0235.5-2939,4FGL J0235.6-2939,1FLAT J023536.7-293842,1RXS J023536.7-293845,,,,,,16.2,-12.2,38.90295,-29.64524,PHL 1389,PHL 1389
FL16Y J0237.6-3602,4FGL J0237.6-3602,1FLAT J023734.0-360328,RBS 0334,,,,,,16.1,-11.7,39.39186,-36.0579,RBS 0334,RBS 0334
FL16Y J0238.0-3905,4FGL J0238.1-3905,1FLAT J023800.6-390505,1RXS J023800.5-390505,,,,,,15.8,-11.8,39.5025,-39.08498,1RXS J023800.5-390505,1RXS J023800.5-390505
FL16Y J0238.5-3116,4FGL J0238.4-3116,1FLAT J023832.5-311658,1RXS J023832.6-311658,,,,,,16.5,-11.1,39.63538,-31.28283,1RXS J023832.6-311658,1RXS J023832.6-311658
FL16Y J0238.6+2556,4FGL J0238.7+2555,1FLAT J023853.9+255407,NVSS J023853+255407,,,,,,16.4,-12.1,39.72455,25.90198,NVSS J023853+255407,NVSS J023853+255407
FL16Y J0241.1-3035,4FGL J0241.1-3035,1FLAT J024115.5-304140,,,,,,,16.7,-12.0,40.31461,-30.69451,,
FL16Y J0241.8-1604,4FGL J0241.9-1603,1FLAT J024151.4-160332,1RXS J024151.6-160339,,,,,,16.0,-12.3,40.4641,-16.05898,1RXS J024151.6-160339,1RXS J024151.6-160339
FL16Y J0243.0+0046,4FGL J0242.9+0045,1FLAT J024302.9+004627,FIRST J024302.9+004627,,,,,,16.2,-12.4,40.76224,0.77423,FIRST J024302.9+004627,FIRST J024302.9+004627
FL16Y J0244.6-5819,4FGL J0244.6-5819,1FLAT J024440.3-581954,RBS 0351,,,,,,17.3,-11.0,41.16792126,-58.33184501,RBS 0351,RBS 0351
FL16Y J0246.6-3349,4FGL J0246.6-3348,1FLAT J024641.8-334342,TXS 0244-340,,,,,,17.5,-12.2,41.6743,-33.72848,TXS 0244-340,TXS 0244-340
FL16Y J0247.9+2230,4FGL J0248.0+2232,1FLAT J024800.7+223119,1RXS J024800.1+223136,,,,,,16.3,-12.3,42.00295,22.52205,1RXS J024800.1+223136,1RXS J024800.1+223136
FL16Y J0249.1+1653,4FGL J0249.2+1652,1FLAT J024903.0+165301,1RXS J024902.4+16531,,,,,,16.4,-12.4,42.26252,16.88388,,
FL16Y J0249.7+4500,4FGL J0249.7+4500,1FLAT J024938.9+450121,B3 0246+448,,,,,,16.9,-12.2,42.411897,45.022572,B3 0246+448,B3 0246+448
FL16Y J0250.6+1712,4FGL J0250.6+1712,1FLAT J025037.8+171209,RGB J0250+172,,,,,,16.2,-11.9,42.65746,17.20258,RGB J0250+172,RGB J0250+172
FL16Y J0251.1-1830,4FGL J0251.1-1830,1FLAT J025111.5-183112,WISEA J025111.52-183112.7,,,,,,15.9,-12.6,42.798,-18.52019,,
