ra,dec,name
150.14116806,10.78993194,100033.88+104723.7
150.26063889,59.73732306,100102.55+594414.3
150.33683194,55.89711694,100120.83+555349.6
150.37353194,54.91058611,100129.64+545438.1
150.46391694,28.00063306,100151.34+280002.2
151.00529194,42.52308611,100401.27+423123.1
151.010865,28.92648694,100402.60+285535.3
151.08388611,5.2168,100420.13+051300.4
151.322645,43.76927611,100517.43+434609.3
151.36809806,42.51043389,100528.34+423037.5
151.799205,5.53580389,100711.80+053208.8
152.62728194,25.99707694,101030.54+255949.4
152.68545611,0.72536694,101044.50+004331.3
152.79522611,13.07004,101110.85+130412.1
152.98165611,29.69488611,101155.59+294141.5
153.26324611,35.85659694,101303.17+355123.7
153.37569806,53.26655694,101330.16+531559.6
153.507785,46.33158889,101401.86+461953.7
153.69659194,43.00838194,101447.18+430030.1
153.95112889,40.6691,101548.27+404008.7
154.98581889,27.73381306,101956.59+274401.7
155.02496611,3.55235194,102005.99+033308.4
155.57913806,1.53856194,102218.99+013218.8
155.58453694,40.94888111,102220.28+405655.9
155.95575389,52.36423194,102349.38+522151.2
156.81157194,35.72150389,102714.77+354317.4
157.06060806,21.33197694,102814.54+211955.1
157.10146389,59.07877,102824.35+590443.5
157.89994194,48.154105,103135.98+480914.7
158.15353306,-1.10304611,103236.84-010610.9
158.20574389,18.09184611,103249.37+180530.6
158.62068194,18.25917111,103428.96+181533.0
159.18815806,37.11702611,103645.15+370701.2
160.12629389,35.64032806,104030.31+353825.1
160.29988694,28.46808389,104111.97+282805.1
160.68432806,16.78226111,104244.23+164656.1
160.89945806,11.85809306,104335.86+115129.1
161.04763194,1.98070306,104411.43+015850.5
161.42400806,52.04320389,104541.76+520235.5
161.46185694,44.30432889,104550.84+441815.5
161.67622,39.33833611,104642.29+392018.0
162.04484694,28.67848389,104810.76+284042.5
162.18115806,51.31811111,104843.47+511905.2
162.53232389,11.541295,105007.75+113228.6
162.69051111,54.78867,105045.72+544719.2
162.93289694,33.99074694,105143.89+335926.6
162.964345,-0.854905,105151.44-005117.6
162.99475806,40.29353194,105158.74+401736.7
163.04177,16.92880806,105210.02+165543.7
163.15520306,24.107595,105237.24+240627.3
163.67016611,27.55178694,105440.83+273306.4
163.68627306,48.52752889,105444.70+483139.1
164.15868111,49.82872111,105638.08+494943.3
164.61271889,22.592645,105827.05+223533.5
164.62551806,60.26678194,105830.12+601600.4
164.93846111,14.69526194,105945.23+144142.9
165.52470306,8.74327306,110205.92+084435.7
166.41589806,34.42628694,110539.81+342534.6
166.49113611,4.95787306,110557.87+045728.3
166.54470111,64.00267306,110610.72+640009.6
167.55031694,1.22440889,111012.07+011327.8
167.66097889,48.52103194,111038.63+483115.7
167.88408694,55.79058611,111132.18+554726.1
168.31842611,9.24416806,111316.42+091439.0
169.013065,2.14784194,111603.13+020852.2
169.276655,44.22591889,111706.39+441333.3
169.352405,15.63348,111724.57+153800.5
169.47633194,26.57128694,111754.31+263416.6
