name,ra,dec
GB6 J0801+6639,120.40158,66.65275
PKS B0802-010,121.3032,-1.18648
TXS 0800+618,121.32558,61.74
B3 0803+452,121.63959,45.0745
CRATES J080736.06-120745.9,121.90003,-12.12886
OJ 508,122.1653,49.84309
,122.23649,40.87915
87GB 080551.6+535010,122.42379,53.69031
GB6 J0812+1141,123.10838,11.69961
5C 07.018,123.26596,25.70311
PMN J0821-5800,125.3355,-58.00542
B2 0821+24,126.13762,24.64518
OJ 535,126.19636,55.87786
PKS 0834-20,129.16333,-20.28322
MG2 J083615+2138,129.06758,21.651
OJ 259,129.41767,24.90636
PKS 0837+012,129.95699,1.07353
3C 207,130.19829,13.20653
4C +71.07,130.35112,70.89578
PKS 0845-051,131.99475,-5.34272
,132.03162,-66.54929
B2 0849+28,133.02146,28.56656
3HSP J085315.9+072229,133.31666,7.37416
,134.54706,66.15308
S4 0859+47,135.76663,46.85114
4C +42.28,136.06423,42.63464
TXS 0907+230,137.67556,22.80988
B3 0908+416B,138.04833,41.43592
1RXS J091237.6-27562,138.13124,-27.87141
9C J0919+3324,139.7866,33.4117
,140.12337,-4.65992
S4 0917+44,140.24371,44.69726
OK 630,140.40097,62.26405
,140.8102206,38.8277528
PKS 0926-306,142.14181,-30.82954
PKS 0926-344,142.2512,-34.7155
NVSS J093033+513216,142.63861,51.53702
PKS 0928+008,142.7169,0.58227
S4 0929+53,143.17152,53.10942
87GB 093051.5+000203,143.34596,-0.181
TXS 0936-173,144.82978,-17.52661
TXS 0937-282,145.020371,-28.491505
TXS 0943+105,146.64612,10.28504
PKS 0946-344,147.03554,-34.66934
,147.41567,17.88036
PMN J0948+0022,147.23883,0.37377
4C +40.24,147.23054,40.66239
TXS 0946+181,147.41567,17.88036
PMN J0952-3006,148.2184,-30.11375
OK 290,149.20781,25.25446
OK 492,149.58166,47.41797
PMN J0958-4110,149.65959,-41.17595
NGC 3100,150.17085,-31.6652989
PMN J1007-0957,151.79559,-9.95094
PKS 1005-333,151.88081,-33.55189
PMN J1008-2912,152.18796,-29.21216
S5 1003+83,152.56578,82.83733
PKS 1008-01,152.71474,-2.00572
WISEA J101216.37+231214.5,153.0682,
,153.17242,24.6565
WISEA J101322.77+214609.9,153.34483,21.76943
PKS B1010-255,153.30462,-25.78186
OL 318,153.45752,34.76346
OL 220,153.69591,23.02069
TXS 1013+054,154.01308,5.21731
B2 1015+35B,154.54579,35.71096
PKS 1016-311,154.61981,-31.39829
,154.50573,-40.92185
NVSS J102201+802350,155.50872,80.39723
4C +40.25,155.79819,39.80427
GB6 J1027+7428,156.85061,74.47391
TXS 1025+031,157.08505,2.92303
,157.67298,45.15845
NVSS J103503-061204,158.765195,-6.201483
PKS 1034-374,159.22273,-37.73731
PKS B1035-281,159.42691,-28.38447
NVSS J103824-242355,159.600181,-24.398564
4C +06.41,160.32151,6.17137
6C 104104+533830,161.04422,53.37235
S5 1039+81,161.09609,80.91096
PKS B1043-291,161.41928,-29.45732
TXS 1045+011,162.03233,0.9288
MRC 1046-463,162.07425,-46.65466
S5 1044+71,162.11508,71.72665
PKS 1048-313,162.76991,-31.63731
OL 282,162.95335,21.33131
CRATES J105433+392803,163.63509,39.47009
S5 1053+70,164.22341,70.19609
PKS B1054-234,164.35175,-23.70048
CRATES J110130+390434,165.37537,39.07572
S51058+726,165.45335,72.42698
CLASS J1102+2241,165.51311,22.69895
TXS 1100+122,165.7647,11.97128
QSO B1102-242,166.1924,-24.52384
PKS 1104-445,166.78623,-44.81878
TXS 1109+350,168.16154,34.77753
PKS B1112-080,168.6357,-8.27742
SUMSS J111720-483806,169.33367,-48.63522
PMN J1117+0216,169.34878,2.27201
PKS 1115-12,169.57139,-12.54831
OM 127,169.73875,12.57826
PKS 1118-05,170.35462,-5.89901
,170.97914,-11.94162
OM 235,171.01128,23.61274
S4 1124+57,171.91723,56.83744
MG2 J112758+3620,171.9953,36.34121
TXS 1125+596,172.055706,59.42083
NVSS J112914-052856,172.30858,-5.48231
PKS1127-145,172.52938,-14.82427
B2 1128+38,172.72282,38.25518
PKS 1128-047,172.87717,-5.00547
,173.49003,0.98097
MG2 J113627+3408,174.11363,34.12814
CRATES J113903+403303,174.76137,40.54856
PKS 1144-379,176.75584,-38.20308
PKS 1145-071,176.96453,-7.41139
7C 1146+2841,177.28698,28.40996
,177.90747,-48.3684
PKS B1149-084,178.07171,-8.68425
PKS B1150-108,178.34297,-11.08683
S5 1150+81,178.3013,80.97452
RX J1154.0+6022,178.5189,60.37245
NVSS J115506+431613,178.78071,43.27259
TXS 1154+069,179.25271,6.68689
GB1 1155+486,179.61154,48.42117
PKS 1156-221,179.79695,-22.47692
MG1 J120448+0408,181.21537,4.13721
,181.86996,-45.6654
TXS 1206+549,182.22607,54.69949
NVSS J121135-273615,182.8997,-27.60514
4C +13.46,183.38405,13.12247
TXS 1212+171,183.76658,16.91054
AT20G J121514-062802,183.81,-6.4678
PKS 1213-17,183.94479,-17.52928
PKS B1213-102,184.10168,-10.55434
ON 428,184.77671,48.49892
S5 1217+71,185.01618,71.09241
PMN J1221-4559,185.44485,-45.98511
4C +04.42,185.59396,4.22105
AT20G J122345-054658,185.9419,-5.78279
SBS 1221+503,186.04133,50.03208
4C +03.23,186.21843,3.51397
PKS 1221-82,186.2266,-83.21947
6C 122527+494833,186.98218,49.54889
NVSS J122835-031737,187.14767,-3.29368
TXS 1226+492,187.2157,48.96702
7C 122619.80+372307.00,187.197594,37.1033574
GB6 J1229+5522,187.28871,55.37512
GB 1230+486,188.14495,48.35914
MG1 J123931+0443,189.88648,4.71812
87GB 124632.9+485605,192.21228,48.66476
PKS 1256-220,194.727,-22.32531
OW 197,195.08708,14.28847
MG2 J130126+3337,195.37176,33.61716
TXS 1300+580,195.71861,57.81045
S5 1304+79,196.25021,78.90989
PKS J1306-1719,196.63608,-17.31622
5C 12.291,197.09875,35.777
OP 313,197.61942,32.3455
TXS 1308+554,197.76338,55.23176
RX J131058.8+323335,197.74751,32.55957
PKS B1310-041,198.21204,-4.41386
PKS 1313-333,199.03343,-33.64987
PKS B1317-005,199.91151,-0.82785
6C B132240+850531,200.221923,84.836607
PKS 1318-263,200.3085,-26.60283
S5 1322+83,200.441733,83.270787
PKS B1319-093,200.65375,-9.62717
4C +29.48,200.75364,29.69578
TXS 1322+479,201.12225,47.72239
B2 1324+22,201.75344,22.18082
6C 132700+502509,201.85472,50.14697
MG2 J132953+3153,202.46954,31.90228
87GB 132842.6+521750,202.6775,52.03764
PKS 1328-034,202.87146,-3.68725
PKS 1329-049,203.01854,-5.16203
B3 1330+476,203.1885,47.37297
PMN J1332-1256,203.1635,-12.93758
MG2 J133305+2725,203.28117,27.42217
PKS 1331-115,-11.8373,-11.8373
,203.83553,-39.19584
PKS 1335-127,204.41571,-12.95686
S4 1335+55,204.45679,55.01725
PKS 1336-260,204.83283,-26.34181
TXS 1339+696,205.19991,69.38943
WN B1340.4+7450,205.32733,74.58186
AT20G J134217-290048,205.564015,-29.011448
PKS B1339-206,205.51971,-20.85819
GC 1342+663,206.03617,66.10322
B3 1343+451,206.38821,44.88322
PKS 1346-112,207.38119,-11.54864
AT20G J135303-875108,208.26631,-87.85266
PMN J1352-2745,208.11675,-27.75192
PKS 1351-018,208.52872,-2.10081
S5 1357+76,209.48069,76.72251
PKS B1406-076,212.23538,-7.87405
MG2 J141108+3705,212.81069,37.0929174
,213.31208,-28.2269
4C 79.14,213.582,79.0967
OQ 323,214.017441,34.74345
,213.83675,-9.93286
PKS 1415-349,214.74625,-35.16192
B3 1417+385,214.94421,38.36347
SDSS J142013.69+061428.6,215.057,6.24133
PMN J1421-7920,215.3499023,-79.34066654
PMN J1421-4820,215.41079,-48.33986
OQ 334,215.62612,32.38492
6C 142116+481556,215.77565,48.03635
PKS 1418-782,215.93146,-78.49303
2QZ J142526.2-011826,216.35843,-1.30711
B2 1424+36,216.6545,36.41933
PKS 1430-178,218.24038,-18.02646
B3 1432+422,218.52371,42.05444
OQ 253,218.6658,19.86687
,218.68909,33.47247
PKS B1434+235,219.17293,23.35111
PKS 1434-325,219.31151,-32.74723
PKS 1435-218,219.53923,-22.08262
PKS 1435-311,219.54496,-31.37458
B2 1436+37B,219.72337,37.17651
NVSS J144022+382016,220.09304,38.33711
PMN J1441-1523,220.43923,-15.39341
B3 1441+476,220.8277,47.43233
PKS 1441+25,220.98705,25.02902
PKS B1443-162,221.4724,-16.48379
S3 1444+17,221.64728,17.3521
MG2 J144640+3110,221.65121,31.17952
PKS 1451-400,223.63696,-40.20917
FIRST J150229.0+555204,225.621197,55.868007
PMN J1504-4248,226.025,-42.80556
PKS 1502+106,226.10415,10.4939
NVSS J150503+202811,226.26448,20.46872
PKS 1502+036,226.27698,3.44185
B2 1504+37,226.53971,37.51419
NVSS J150637-054006,226.65417,-5.66806
AT20G J150945-290502,227.437627,-29.083593
PMN J1509-4340,227.39871,-43.67558
GB 1508+5714,227.51217,57.04539
PKS 1510-324,228.41244,-32.58315
PMN J1514-0948,228.70738,-9.81031
TXS 1518+170,230.319,16.90083
B3 1520+437,230.45671,43.61092
B2 1520+31,230.54158,31.73733
PKS 1519-273,230.65634,-27.5029
B2 1520+34,230.72867,34.23586
7C 1520+2819,230.70404,28.14921
,230.88868,-39.61131
TXS 1530-131,233.18453,-13.3212
PKS 1532+01,233.71838,1.51768
4C +70.18,237.48577,70.21538
4C +05.64,237.64696,5.45289
,237.81087,-17.91641
PKS 1551+130,238.38621,12.94769
SUMSS J155617-691640,239.074958,-69.2782924
PKS 1555+001,239.46425,-0.03067
OS 300,240.53025,33.44808
CRATES J160533+300127,241.3877,30.02492
4C +10.45,242.19246,10.4855
B2 1608+24,242.67508,24.24694
OS 319,243.421,34.21342
SDSS J161531.09+213011.0,243.87958,21.50308
PMN J1617-2537,244.33571,-25.62325
PKS 1610-77,244.45529,-77.28847
TXS 1616+517,244.37293,51.67226
,245.22938,54.81517
,246.10181,57.68678
PKS 1622-253,246.44533,-25.46064
MG4 J162551+4346,246.47213,43.78717
4C +41.32,246.49025,41.57794
PKS B1622-297,246.52495,-29.85795
87GB 162528.4+544848,246.64208,54.70186
TXS 1630-107,248.20859,-10.87551
MG2 J163338+2803,248.4085,28.03947
4C +38.41,248.81325,38.13497
MG3 J163554+3629,248.94691,36.49164
4C +47.44,249.43848,47.29188
NRAO 512,250.123,39.77975
TXS 1639-062,250.50904,-6.35658
PKS 1636-77,251.06841,-77.26342
4C +69.21,250.53271,68.94439
TXS 1645+635,251.49396,63.50303
7C 1647+7424,251.56321,74.31975
MG2 J164800+2224,252.00642,22.40919
PKS 1646+042,252.36529,4.20111
MG1 J165034+0824,252.6565,8.4145
OS 092,254.53709,7.6909
4C +48.41,254.44529,48.14253
7C 1700+6616,255.24667,66.20764
MRC 1659-621,255.90225,-62.21111
NVSS J170556+100006,256.65304,9.89989
,259.59486,42.66251
GB6 J1722+6105,260.66692,61.09994
PKS 1719-729,261.50733,-73.00014
,261.96579,-6.96811
PKS 1730-13,263.26129,-13.08043
TXS 1731+152A,263.34419,15.22288
B2 1732+38A,263.58575,38.96429
6C B175708+871924,264.351804,87.295807
PKS 1734+063,264.11904,6.52986
S4 1738+47,264.98803,47.63288
4C +51.37,265.15404,52.19539
B3 1742+378,265.94853,37.79828
PKS 1741-03,265.99523,-3.83461
PKS 1743+173,266.3967,17.33373
PMN J1747-5236,266.77322,-52.60785
MG2 J174753+2323,266.95858,23.41075
PMN J1747-5310,266.83408,-53.17214
B3 1746+470,266.86103,46.98079
B2 1751+28,268.42697,28.80137
S4 1800+44,270.38521,44.07209
PKS 1758-651,270.84631,-65.12596
TXS 1805+537,271.63467,53.71425
PMN J1808-5011,272.05758,-50.19814
B3 1812+412,273.59458,41.21822
PMN J1816-4943,274.23319,-49.72901
PKS 1821-525,276.30661,-52.51501
87GB 182712.0+272717,277.30828,27.48419
PKS 1824-582,277.30168,-58.23199
MG4 J182958+3958,277.48546,39.95964
PKS 1831-711,279.36958,-71.14544
PMN J1841-5544,280.322634,-55.73806
PMN J1848-4230,282.02579,-42.50762
PMN J1848-2718,282.197934,-27.30502006
B2 1846+32B,282.143,32.73335
PMN J1858-2511,284.57939,-25.18055
GB6 J1901+6207,285.26254,62.12258
PMN J1901-1738,285.275116,-17.64475632
PMN J1901-5138,285.4542006,-51.65222538
PMN J1903-6749,285.754,-67.82613
1RXS J190339.7-39041,285.90682,-39.06052
PKS B1908-201,287.79021,-20.11531
TXS 1908-211,287.97473,-21.04563
PKS 1903-80,288.16711,-80.16898
PMN J1916-6928,289.14937,-69.47551
PKS 1915-458,289.8195,-45.72739
PKS 1921-341,291.3213,-34.01705
PKS 1929-457,293.18703,-45.61054
TXS 1933+655,293.48892,65.67136
6C B194425+834912,294.41583,83.94089
NVSS J193655-295333,294.22944,-29.89217
PKS 1933-400,294.31783,-39.9671
PKS 1936-15,294.86104,-15.42864
GB6 J1941+7221,295.362342,72.361756
PKS 1936-623,295.34054,-62.18901
PMN J1950-7322,297.72691,-73.37659
PMN J1951-0509,297.94727,-5.16218
OV 591,298.92804,51.53014
PMN J1959-4246,299.80586,-42.76868
PKS 1958-179,300.23686,-17.81618
TXS 2002-233,301.48581,-23.17417
87GB 200541.3+641601,301.57373,64.41262
TXS 2007+659,301.86988,66.12292
PKS 2004-447,301.97978,-44.57884
PMN J2010-2524,302.58234,-25.39963
PMN J2012-1646,303.12575,-16.78067
S4 2015+65,303.98071,65.91464
,304.4419,79.04386
PMN J2023-1140,305.90275,-11.66608
PMN J2023-4826,305.91013,-48.44775
PMN J2024-6458,306.19304,-64.97645
PKS 2022+031,306.29013,3.27903
PKS 2023-07,306.41942,-7.59797
PMN J2025-2845,306.47338,-28.76353
TXS 2027-065,307.56304,-6.37081
SUMSS J203056-411906,307.7289,-41.28425
WISEA J203637.75-283026.5,309.1574,-28.50737
TXS 2037+216,309.8952,21.86952
PKS 2037-253,310.03634,-25.12957
PKS 2036-577,310.00444,-57.58608
,310.70288,-1.81942
PKS 2045-405,312.29142,-40.34217
PKS 2047+098,312.44126,10.05137
PKS 2052-47,314.06817,-47.24656
PMN J2057-0719,314.33767,-7.32769
PKS 2054-377,314.42335,-37.5675
PKS 2058-297,315.257,-29.5574
NVSS J210301+034411,315.77117,3.78266
NVSS J210606+750925,316.52283,75.15577
OX 110,317.17096,14.5075
PKS 2106-413,317.38829,-41.17239
PKS 2107-105,317.50404,-10.34916
PMN J2110+0810,317.54053,8.16533
GB6 J2113+1121,318.47804,11.35708
B2 2112+28B,318.743,28.54922
B2 2112+31,318.71025,31.50589
B2 2113+29,318.87237,29.56062
PKS 2116-11,319.91621,-11.10392
OX 131,320.2525,19.02453
OX 036,320.93546,5.58947
87GB 212407.5+182753,321.61862,18.68372
87GB 212519.6+740525,321.36158,74.30939
NVSS J213252+261143,323.22135,26.19629
PKS 2130-654,323.55515,-65.22699
PMN J2135-5006,323.83396,-50.11437
PMN J2138-4931,324.609744,-49.517163
TXS 2136-251,324.65497,-24.66488
B2 2138+38,325.07063,39.19581
OX 169,325.89758,17.73029
PKS 2141-781,326.62552,-77.93193
PMN J2145-3357,326.25464,-33.95455
MG1 J214653+0427,326.73002,4.45712
PKS 2144+092,326.79229,9.49631
PKS 2149-306,327.98135,-30.46492
S3 2152+22,328.77692,22.83953
MC2 2154+100,329.30354,10.24022
B2 2155+31,329.37004,31.45039
PKS 2153-76,329.49268,-75.83134
PKS 2155-83,330.58016,-83.63662
PKS 2200-238,330.73329,-23.58617
S5 2205+74,331.44746,74.60583
PKS 2204-54,331.93313,-53.77668
,332.17693,36.98659
PMN J2208-4509,332.03646,-45.15268
PKS 2209+236,333.0245,23.92809
TXS 2210+065,333.21143,6.76845
S3 2214+30,334.17796,31.04317
MG1 J221916+1806,334.80871,18.10989
TXS 2220+119,335.72078,12.23052
3C 446,336.44691,-4.95039
PKS 2223+21,336.40864,21.30185
PKS B2224+006,336.69392,0.86981
PKS 2227-08,337.41702,-8.54845
PKS 2232-488,338.80675,-48.60033
2MASS J22352860+1816356,338.86918,18.27656
PMN J2236-2309,339.10686,-23.15689
PKS 2236-572,339.8,-57.01708
PKS 2243-563,341.56888,-56.12928
PKS 2243-123,341.57597,-12.11424
PKS 2245-328,342.16119,-32.59783
PKS 2246+208,342.25235,21.11745
PKS 2247-131,342.49839,-12.85467
TXS 2250-127,343.34489,-12.53146
B3 2251+428,343.4839994,43.07538424
OY 489,343.90295,42.04793
PKS 2253-278,344.00065,-27.59893
PKS 2257-270,345.10625,-26.73966
CRATES J230041+033707,345.1704,3.6197
PKS B2258-022,345.28323,-1.96791
TXS 2259+058,345.47276,6.15357
,345.36554,37.447
PKS 2301+060,346.11788,6.33564
B2 2308+34,347.7722,34.41969
MG4 J231144+4543,347.9475,45.73222
PKS 2311-452,348.53896,-44.93036
TXS 2315+189,349.59545,19.24782
PKS 2315-172,349.54729,-16.99144
PKS 2318-087,350.326,-8.45597
B2 2319+31,350.478953,32.068835
4C +27.50,350.49924,27.54595
B3 2319+444,350.58446,44.76398
PKS 2320-035,350.88314,-3.28473
TXS 2321-065,350.91296,-6.29978
SDSS J232625.63+011208.6,351.60683,1.20242
PKS 2325+093,351.88974,9.66886
PKS 2326-477,352.32375,-47.50531
4C +10.73,352.66981,11.00554
PKS 2329-16,352.911,-15.94917
PKS 2333-415,354.1416,-41.25611
PKS 2335-027,354.48892,-2.51601
CRATES J233930+024420,354.87383,2.73483
WISEA J234032.90+023125.4,354.87383,2.73483
PKS 2340-567,355.86286,-56.43995
AT20G J235430-151311,358.6258132,-15.219781
4C +45.51,358.59038,45.88449
PKS 2355-106,359.5454,-10.33579
PKS 2357-318,359.89788,-31.56217
AT20G J235947-504233,359.94706,-50.70895
